WorkerId,item,construction,possessor_definiteness,possessor_length,acceptability,sentence
23,14,of,def,long,5,I hated the manager of the store that was around the corner.
29,5,s,indef,short,5,I got a celebrity's autograph.
1,12,of,indef,long,5,I smelled the flowers of a tree that was in the woods.
2,1,s,indef,long,4,I remembered a professor who I met two days ago's face.
35,11,s,def,short,5,I encountered the client's lawyer.
3,4,s,indef,long,1,I watched a television that was very large's screen.
6,5,s,indef,long,2,I got a celebrity who was in a lot of movies's autograph.
36,1,s,indef,short,4,I remembered a professor's face.
9,9,of,indef,long,3,I read the book of a lawyer who was from France.
21,12,s,indef,short,5,I smelled a tree's flowers.
13,11,s,def,long,2,I encountered the client who was guilty of a crime's lawyer.
33,1,of,indef,short,5,I remembered the face of a professor.
20,9,of,def,long,4,I read the book of the lawyer who was from France.
22,2,s,indef,long,1,I know a university that is in Maryland's president.
24,15,of,indef,long,3,I loved the sister of a policeman who was patrolling the neighborhood.
37,13,of,indef,short,3,I took the toy of a child.
3,12,of,def,long,2,I smelled the flowers of the tree that was in the woods.
6,2,of,indef,short,5,I know the president of a university.
38,12,of,def,short,5,I smelled the flowers of the tree.
8,2,s,def,long,1,I know the university that is in Maryland's president.
19,13,of,def,short,2,I took the toy of the child.
30,7,s,indef,short,4,I knew a doctor's patient.
39,8,s,indef,long,2,I opened a cabin that was in the woods's door.
40,9,of,indef,long,4,I read the book of a lawyer who was from France.
41,9,of,def,long,2,I read the book of the lawyer who was from France.
18,9,s,indef,long,2,I read a lawyer who was from France's book.
10,14,s,indef,long,2,I hated a store that was around the corner's manager.
24,10,s,def,short,5,I yelled at the boat's owner.
3,1,s,def,short,5,I remembered the professor's face.
4,12,s,indef,short,4,I smelled a tree's flowers.
42,12,of,indef,long,4,I smelled the flowers of a tree that was in the woods.
43,1,of,def,long,5,I remembered the face of the professor who I met two days ago.
35,14,of,def,long,4,I hated the manager of the store that was around the corner.
5,2,s,indef,short,4,I know a university's president.
34,12,of,indef,short,4,I smelled the flowers of a tree.
29,9,of,indef,short,2,I read the book of a lawyer.
13,6,s,def,short,4,I saw the car's driver.
26,6,s,def,long,3,I saw the car that was speeding down the street's driver.
2,4,s,indef,short,2,I watched a television's screen.
14,12,of,def,long,2,I smelled the flowers of the tree that was in the woods.
15,3,of,def,short,3,I met the wife of the man.
33,12,s,indef,long,1,I smelled a tree that was in the woods's flowers.
17,1,of,def,long,5,I remembered the face of the professor who I met two days ago.
21,14,of,def,short,5,I hated the manager of the store.
44,8,of,indef,long,5,I opened the door of a cabin that was in the woods.
45,4,s,def,short,4,I watched the television's screen.
24,0,of,indef,short,5,I forgot the title of a movie.
1,15,s,def,short,5,I loved the policeman's sister.
37,8,s,def,long,1,I opened the cabin that was in the woods's door.
39,15,s,indef,short,4,I loved a policeman's sister.
46,4,of,def,long,2,I watched the screen of the television that was very large.
40,10,s,def,short,4,I yelled at the boat's owner.
31,4,s,def,long,1,I watched the television that was very large's screen.
41,2,of,def,short,5,I know the president of the university.
42,14,s,def,long,1,I hated the store that was around the corner's manager.
47,8,s,indef,short,5,I opened a cabin's door.
2,11,of,def,long,2,I encountered the lawyer of the client who was guilty of a crime.
3,0,s,def,long,1,I forgot the movie that I saw yesterday's title.
8,4,s,indef,long,1,I watched a television that was very large's screen.
19,9,of,indef,short,4,I read the book of a lawyer.
34,5,of,indef,long,3,I got the autograph of a celebrity who was in a lot of movies.
11,13,s,indef,long,1,I took a child who was in first grade's toy.
24,14,of,def,short,5,I hated the manager of the store.
13,7,s,indef,long,1,I knew a doctor who worked in the hospital's patient.
48,6,s,def,short,5,I saw the car's driver.
15,7,s,def,short,5,I knew the doctor's patient.
16,6,of,indef,long,4,I saw the driver of a car that was speeding down the street.
33,13,s,indef,short,5,I took a child's toy.
7,8,s,indef,short,5,I opened a cabin's door.
18,11,of,indef,long,5,I encountered the lawyer of a client who was guilty of a crime.
49,11,of,indef,long,3,I encountered the lawyer of a client who was guilty of a crime.
42,0,s,indef,long,1,I forgot a movie that I saw yesterday's title.
50,14,of,indef,long,5,I hated the manager of a store that was around the corner.
21,1,s,def,long,4,I remembered the professor who I met two days ago's face.
47,7,s,indef,long,2,I knew a doctor who worked in the hospital's patient.
28,11,of,indef,short,2,I encountered the lawyer of a client.
30,3,of,indef,short,4,I met the wife of a man.
51,6,s,def,short,5,I saw the car's driver.
38,14,of,indef,short,5,I hated the manager of a store.
8,15,of,indef,short,5,I loved the sister of a policeman.
31,15,of,def,short,3,I loved the sister of the policeman.
20,4,of,indef,short,4,I watched the screen of a television.
29,12,of,def,long,1,I smelled the flowers of the tree that was in the woods.
13,1,of,indef,long,4,I remembered the face of a professor who I met two days ago.
26,3,of,def,short,2,I met the wife of the man.
48,8,s,indef,short,5,I opened a cabin's door.
33,2,of,indef,long,5,I know the president of a university that is in Maryland.
39,10,of,indef,long,4,I yelled at the owner of a boat that crashed into the pier.
46,12,of,indef,long,2,I smelled the flowers of a tree that was in the woods.
9,12,s,indef,short,5,I smelled a tree's flowers.
28,2,of,def,long,1,I know the president of the university that is in Maryland.
44,13,of,def,short,4,I took the toy of the child.
23,13,s,indef,short,5,I took a child's toy.
12,3,of,def,long,4,I met the wife of the man who worked at the store.
4,9,of,indef,long,5,I read the book of a lawyer who was from France.
38,6,of,def,short,5,I saw the driver of the car.
19,8,of,indef,long,5,I opened the door of a cabin that was in the woods.
34,7,s,def,long,2,I knew the doctor who worked in the hospital's patient.
52,5,of,indef,short,5,I got the autograph of a celebrity.
30,6,s,indef,long,1,I saw a car that was speeding down the street's driver.
2,9,s,def,long,5,I read the lawyer who was from France's book.
14,10,s,indef,long,2,I yelled at a boat that crashed into the pier's owner.
27,5,s,indef,long,1,I got a celebrity who was in a lot of movies's autograph.
39,2,of,def,long,4,I know the president of the university that is in Maryland.
46,13,of,indef,short,3,I took the toy of a child.
31,0,of,indef,long,5,I forgot the title of a movie that I saw yesterday.
36,11,of,def,short,4,I encountered the lawyer of the client.
22,4,of,def,long,2,I watched the screen of the television that was very large.
26,15,s,indef,short,3,I loved a policeman's sister.
6,9,of,indef,long,2,I read the book of a lawyer who was from France.
8,7,of,def,short,5,I knew the patient of the doctor.
49,3,of,def,long,5,I met the wife of the man who worked at the store.
45,9,of,indef,long,2,I read the book of a lawyer who was from France.
25,3,s,indef,long,5,I met a man who worked at the store's wife.
46,15,s,def,short,4,I loved the policeman's sister.
40,4,s,def,short,5,I watched the television's screen.
50,13,of,def,short,4,I took the toy of the child.
37,6,of,indef,long,5,I saw the driver of a car that was speeding down the street.
15,6,s,def,long,1,I saw the car that was speeding down the street's driver.
16,8,s,def,long,1,I opened the cabin that was in the woods's door.
9,1,s,def,long,5,I remembered the professor who I met two days ago's face.
49,9,s,indef,long,2,I read a lawyer who was from France's book.
21,8,of,def,short,5,I opened the door of the cabin.
22,14,s,def,long,1,I hated the store that was around the corner's manager.
44,9,of,indef,short,4,I read the book of a lawyer.
52,14,s,indef,long,1,I hated a store that was around the corner's manager.
30,14,of,def,long,4,I hated the manager of the store that was around the corner.
13,14,s,indef,short,3,I hated a store's manager.
53,13,s,def,short,5,I took the child's toy.
25,8,of,indef,short,5,I opened the door of a cabin.
46,9,s,def,short,4,I read the lawyer's book.
38,7,of,indef,long,5,I knew the patient of a doctor who worked in the hospital.
8,0,s,def,long,1,I forgot the movie that I saw yesterday's title.
40,5,s,indef,long,5,I got a celebrity who was in a lot of movies's autograph.
31,8,of,def,long,5,I opened the door of the cabin that was in the woods.
36,12,of,indef,long,4,I smelled the flowers of a tree that was in the woods.
26,4,of,indef,long,2,I watched the screen of a television that was very large.
48,11,s,def,long,2,I encountered the client who was guilty of a crime's lawyer.
5,14,s,def,short,5,I hated the store's manager.
16,11,of,def,short,5,I encountered the lawyer of the client.
6,0,of,indef,short,4,I forgot the title of a movie.
41,11,s,def,long,4,I encountered the client who was guilty of a crime's lawyer.
18,5,of,indef,long,5,I got the autograph of a celebrity who was in a lot of movies.
47,2,of,def,short,5,I know the president of the university.
52,6,s,def,long,2,I saw the car that was speeding down the street's driver.
43,15,s,indef,long,1,I loved a policeman who was patrolling the neighborhood's sister.
53,0,of,def,long,4,I forgot the title of the movie that I saw yesterday.
7,0,of,def,short,5,I forgot the title of the movie.
19,11,s,indef,short,5,I encountered a client's lawyer.
42,9,s,def,short,5,I read the lawyer's book.
50,6,of,def,long,5,I saw the driver of the car that was speeding down the street.
22,12,of,indef,long,3,I smelled the flowers of a tree that was in the woods.
14,14,of,indef,long,3,I hated the manager of a store that was around the corner.
39,14,s,indef,long,2,I hated a store that was around the corner's manager.
41,0,of,def,short,5,I forgot the title of the movie.
20,0,of,def,short,5,I forgot the title of the movie.
21,7,of,def,long,4,I knew the patient of the doctor who worked in the hospital.
47,14,s,indef,short,4,I hated a store's manager.
23,1,of,indef,short,5,I remembered the face of a professor.
43,3,of,def,long,5,I met the wife of the man who worked at the store.
35,15,of,def,short,NA,I loved the sister of the policeman.
51,0,of,def,short,5,I forgot the title of the movie.
25,14,of,indef,short,5,I hated the manager of a store.
17,6,of,indef,short,5,I saw the driver of a car.
42,5,of,def,short,2,I got the autograph of the celebrity.
45,15,of,indef,long,4,I loved the sister of a policeman who was patrolling the neighborhood.
11,15,of,def,long,3,I loved the sister of the policeman who was patrolling the neighborhood.
52,1,of,def,short,5,I remembered the face of the professor.
26,8,s,indef,long,2,I opened a cabin that was in the woods's door.
27,10,s,def,short,4,I yelled at the boat's owner.
4,1,s,def,long,1,I remembered the professor who I met two days ago's face.
33,5,s,def,short,5,I got the celebrity's autograph.
31,2,of,indef,long,2,I know the president of a university that is in Maryland.
19,14,of,indef,long,5,I hated the manager of a store that was around the corner.
20,10,of,indef,short,5,I yelled at the owner of a boat.
10,0,of,def,long,5,I forgot the title of the movie that I saw yesterday.
28,14,s,indef,long,1,I hated a store that was around the corner's manager.
29,6,of,def,long,4,I saw the driver of the car that was speeding down the street.
30,5,s,def,short,5,I got the celebrity's autograph.
2,5,of,def,long,4,I got the autograph of the celebrity who was in a lot of movies.
47,11,s,def,long,2,I encountered the client who was guilty of a crime's lawyer.
34,4,of,def,short,2,I watched the screen of the television.
44,0,s,def,long,2,I forgot the movie that I saw yesterday's title.
26,0,of,def,long,4,I forgot the title of the movie that I saw yesterday.
27,13,of,def,long,4,I took the toy of the child who was in first grade.
25,11,of,def,long,5,I encountered the lawyer of the client who was guilty of a crime.
3,10,s,indef,long,2,I yelled at a boat that crashed into the pier's owner.
54,6,of,def,long,4,I saw the driver of the car that was speeding down the street.
33,11,s,def,short,3,I encountered the client's lawyer.
38,8,of,indef,short,5,I opened the door of a cabin.
8,12,of,def,long,4,I smelled the flowers of the tree that was in the woods.
22,8,s,def,long,1,I opened the cabin that was in the woods's door.
24,2,of,indef,short,5,I know the president of a university.
30,13,s,indef,short,5,I took a child's toy.
43,0,s,indef,short,5,I forgot a movie's title.
53,2,of,def,long,2,I know the president of the university that is in Maryland.
37,14,s,def,long,2,I hated the store that was around the corner's manager.
4,3,s,def,long,1,I met the man who worked at the store's wife.
39,1,of,def,short,5,I remembered the face of the professor.
40,0,of,indef,short,5,I forgot the title of a movie.
10,2,of,def,long,4,I know the president of the university that is in Maryland.
28,10,of,indef,long,5,I yelled at the owner of a boat that crashed into the pier.
44,1,s,def,short,5,I remembered the professor's face.
11,6,s,def,short,5,I saw the car's driver.
13,15,of,def,long,2,I loved the sister of the policeman who was patrolling the neighborhood.
26,11,of,indef,short,4,I encountered the lawyer of a client.
15,0,of,def,long,5,I forgot the title of the movie that I saw yesterday.
6,10,s,def,short,5,I yelled at the boat's owner.
18,13,s,def,long,2,I took the child who was in first grade's toy.
50,5,s,indef,short,5,I got a celebrity's autograph.
27,12,s,indef,short,3,I smelled a tree's flowers.
53,8,s,indef,long,1,I opened a cabin that was in the woods's door.
25,4,s,indef,short,5,I watched a television's screen.
9,7,of,def,long,4,I knew the patient of the doctor who worked in the hospital.
21,3,s,def,long,2,I met the man who worked at the store's wife.
28,4,of,indef,long,1,I watched the screen of a television that was very large.
34,3,of,def,long,4,I met the wife of the man who worked at the store.
12,7,s,def,long,1,I knew the doctor who worked in the hospital's patient.
43,12,of,indef,short,4,I smelled the flowers of a tree.
1,0,s,indef,long,2,I forgot a movie that I saw yesterday's title.
37,7,of,indef,short,4,I knew the patient of a doctor.
48,13,s,indef,long,3,I took a child who was in first grade's toy.
15,13,s,def,short,5,I took the child's toy.
38,13,of,indef,long,5,I took the toy of a child who was in first grade.
20,3,of,indef,long,5,I met the wife of a man who worked at the store.
47,6,s,def,short,5,I saw the car's driver.
29,10,s,indef,long,4,I yelled at a boat that crashed into the pier's owner.
30,1,of,indef,short,5,I remembered the face of a professor.
2,13,of,indef,long,2,I took the toy of a child who was in first grade.
35,0,of,indef,long,5,I forgot the title of a movie that I saw yesterday.
53,15,s,indef,short,5,I loved a policeman's sister.
33,8,of,def,long,3,I opened the door of the cabin that was in the woods.
46,7,of,indef,short,NA,I knew the patient of a doctor.
31,14,of,def,long,5,I hated the manager of the store that was around the corner.
41,12,s,def,short,5,I smelled the tree's flowers.
18,2,s,indef,short,5,I know a university's president.
36,9,s,def,short,4,I read the lawyer's book.
19,1,s,def,short,5,I remembered the professor's face.
49,12,of,indef,short,4,I smelled the flowers of a tree.
50,7,of,def,short,5,I knew the patient of the doctor.
26,9,s,indef,short,4,I read a lawyer's book.
5,8,s,def,short,5,I opened the cabin's door.
20,6,s,def,short,5,I saw the car's driver.
10,6,s,def,long,4,I saw the car that was speeding down the street's driver.
32,4,s,def,long,1,I watched the television that was very large's screen.
47,12,s,def,short,5,I smelled the tree's flowers.
44,3,s,def,short,5,I met the man's wife.
11,5,s,def,long,1,I got the celebrity who was in a lot of movies's autograph.
14,6,of,def,long,4,I saw the driver of the car that was speeding down the street.
37,9,s,def,short,5,I read the lawyer's book.
38,0,s,def,short,5,I forgot the movie's title.
8,5,s,indef,short,5,I got a celebrity's autograph.
50,3,s,def,short,5,I met the man's wife.
28,5,of,indef,short,5,I got the autograph of a celebrity.
45,14,of,def,short,5,I hated the manager of the store.
52,3,of,def,short,5,I met the wife of the man.
35,5,s,def,short,5,I got the celebrity's autograph.
51,13,s,indef,long,2,I took a child who was in first grade's toy.
53,3,of,def,short,4,I met the wife of the man.
48,2,of,def,short,5,I know the president of the university.
5,1,of,def,long,4,I remembered the face of the professor who I met two days ago.
54,7,of,def,short,4,I knew the patient of the doctor.
7,14,s,indef,short,4,I hated a store's manager.
17,3,of,def,long,5,I met the wife of the man who worked at the store.
31,3,of,indef,short,4,I met the wife of a man.
18,4,of,def,short,5,I watched the screen of the television.
20,7,s,indef,long,1,I knew a doctor who worked in the hospital's patient.
32,3,of,indef,short,3,I met the wife of a man.
47,10,of,indef,short,5,I yelled at the owner of a boat.
22,1,s,indef,short,4,I remembered a professor's face.
23,9,of,def,short,1,I read the book of the lawyer.
30,2,of,indef,long,5,I know the president of a university that is in Maryland.
3,13,of,def,short,2,I took the toy of the child.
46,1,s,indef,short,3,I remembered a professor's face.
41,14,s,indef,short,3,I hated a store's manager.
42,6,of,indef,long,3,I saw the driver of a car that was speeding down the street.
34,2,s,indef,short,5,I know a university's president.
11,7,s,indef,long,1,I knew a doctor who worked in the hospital's patient.
29,3,s,def,short,4,I met the man's wife.
43,13,s,def,long,2,I took the child who was in first grade's toy.
1,7,of,indef,short,5,I knew the patient of a doctor.
14,3,s,def,short,5,I met the man's wife.
27,0,of,indef,short,5,I forgot the title of a movie.
53,1,of,def,short,5,I remembered the face of the professor.
4,13,of,def,long,4,I took the toy of the child who was in first grade.
54,5,s,indef,short,4,I got a celebrity's autograph.
33,0,of,indef,long,5,I forgot the title of a movie that I saw yesterday.
17,12,of,indef,short,5,I smelled the flowers of a tree.
38,10,s,indef,short,5,I yelled at a boat's owner.
32,2,of,indef,long,5,I know the president of a university that is in Maryland.
47,5,s,def,long,2,I got the celebrity who was in a lot of movies's autograph.
22,10,of,def,long,5,I yelled at the owner of the boat that crashed into the pier.
24,9,of,indef,long,5,I read the book of a lawyer who was from France.
26,10,of,indef,long,4,I yelled at the owner of a boat that crashed into the pier.
35,13,s,indef,short,5,I took a child's toy.
51,1,of,indef,long,5,I remembered the face of a professor who I met two days ago.
37,15,s,def,short,5,I loved the policeman's sister.
8,8,of,indef,long,5,I opened the door of a cabin that was in the woods.
40,12,s,indef,short,5,I smelled a tree's flowers.
49,8,s,def,short,5,I opened the cabin's door.
42,4,of,def,long,2,I watched the screen of the television that was very large.
45,7,of,def,long,5,I knew the patient of the doctor who worked in the hospital.
27,9,of,indef,long,4,I read the book of a lawyer who was from France.
3,15,of,indef,short,5,I loved the sister of a policeman.
6,13,of,def,long,2,I took the toy of the child who was in first grade.
18,7,s,def,long,2,I knew the doctor who worked in the hospital's patient.
19,0,s,def,long,1,I forgot the movie that I saw yesterday's title.
21,13,of,def,long,4,I took the toy of the child who was in first grade.
52,7,s,def,short,5,I knew the doctor's patient.
12,11,of,indef,long,2,I encountered the lawyer of a client who was guilty of a crime.
43,10,of,def,short,5,I yelled at the owner of the boat.
14,0,s,def,long,2,I forgot the movie that I saw yesterday's title.
53,4,of,indef,long,2,I watched the screen of a television that was very large.
42,1,s,indef,short,5,I remembered a professor's face.
47,3,of,indef,long,5,I met the wife of a man who worked at the store.
34,0,s,indef,short,5,I forgot a movie's title.
45,11,s,indef,long,1,I encountered a client who was guilty of a crime's lawyer.
27,2,of,indef,short,2,I know the president of a university.
51,10,of,indef,short,5,I yelled at the owner of a boat.
25,13,of,indef,long,4,I took the toy of a child who was in first grade.
41,6,s,def,short,5,I saw the car's driver.
29,4,s,indef,long,1,I watched a television that was very large's screen.
13,4,of,indef,short,4,I watched the screen of a television.
43,4,of,def,short,5,I watched the screen of the television.
14,7,of,def,short,3,I knew the patient of the doctor.
39,4,of,indef,long,5,I watched the screen of a television that was very large.
10,11,of,indef,short,5,I encountered the lawyer of a client.
34,6,of,indef,short,5,I saw the driver of a car.
45,12,s,indef,short,5,I smelled a tree's flowers.
25,1,s,indef,long,5,I remembered a professor who I met two days ago's face.
16,9,s,def,short,5,I read the lawyer's book.
8,13,of,def,short,5,I took the toy of the child.
40,6,s,indef,short,5,I saw a car's driver.
20,5,s,def,long,4,I got the celebrity who was in a lot of movies's autograph.
49,14,s,def,short,3,I hated the store's manager.
50,15,of,indef,short,5,I loved the sister of a policeman.
37,0,s,indef,long,2,I forgot a movie that I saw yesterday's title.
15,2,of,def,long,5,I know the president of the university that is in Maryland.
5,4,of,def,short,4,I watched the screen of the television.
54,14,of,indef,long,5,I hated the manager of a store that was around the corner.
19,4,s,indef,long,1,I watched a television that was very large's screen.
45,6,s,indef,short,4,I saw a car's driver.
29,15,of,indef,short,4,I loved the sister of a policeman.
13,13,s,indef,long,3,I took a child who was in first grade's toy.
51,4,of,indef,short,4,I watched the screen of a television.
40,13,of,def,long,3,I took the toy of the child who was in first grade.
41,7,s,indef,long,2,I knew a doctor who worked in the hospital's patient.
18,15,s,indef,long,1,I loved a policeman who was patrolling the neighborhood's sister.
9,15,of,indef,long,4,I loved the sister of a policeman who was patrolling the neighborhood.
42,15,s,def,short,5,I loved the policeman's sister.
32,11,s,def,short,3,I encountered the client's lawyer.
24,12,s,indef,short,5,I smelled a tree's flowers.
14,4,s,indef,long,1,I watched a television that was very large's screen.
35,8,of,def,long,4,I opened the door of the cabin that was in the woods.
4,14,of,def,short,5,I hated the manager of the store.
5,15,s,indef,long,2,I loved a policeman who was patrolling the neighborhood's sister.
16,13,of,indef,short,3,I took the toy of a child.
31,5,s,def,short,5,I got the celebrity's autograph.
20,12,s,def,short,5,I smelled the tree's flowers.
28,1,of,def,short,5,I remembered the face of the professor.
34,14,s,def,short,5,I hated the store's manager.
52,11,of,indef,short,5,I encountered the lawyer of a client.
30,10,s,def,long,2,I yelled at the boat that crashed into the pier's owner.
1,9,s,def,short,5,I read the lawyer's book.
2,14,of,indef,short,3,I hated the manager of a store.
37,12,of,indef,long,3,I smelled the flowers of a tree that was in the woods.
54,4,s,indef,long,1,I watched a television that was very large's screen.
38,5,of,def,long,5,I got the autograph of the celebrity who was in a lot of movies.
8,3,s,def,short,5,I met the man's wife.
10,13,s,def,short,5,I took the child's toy.
50,8,of,indef,long,5,I opened the door of a cabin that was in the woods.
45,1,s,def,long,2,I remembered the professor who I met two days ago's face.
14,8,of,indef,long,3,I opened the door of a cabin that was in the woods.
40,11,s,indef,long,4,I encountered a client who was guilty of a crime's lawyer.
23,3,of,indef,short,4,I met the wife of a man.
12,12,of,indef,short,5,I smelled the flowers of a tree.
24,13,of,def,long,4,I took the toy of the child who was in first grade.
43,8,s,def,short,5,I opened the cabin's door.
27,3,s,def,long,4,I met the man who worked at the store's wife.
35,1,of,indef,short,4,I remembered the face of a professor.
51,11,s,def,long,1,I encountered the client who was guilty of a crime's lawyer.
54,8,of,indef,long,5,I opened the door of a cabin that was in the woods.
38,15,s,def,long,4,I loved the policeman who was patrolling the neighborhood's sister.
18,12,of,indef,short,5,I smelled the flowers of a tree.
36,10,of,def,long,5,I yelled at the owner of the boat that crashed into the pier.
9,5,s,indef,long,4,I got a celebrity who was in a lot of movies's autograph.
20,2,of,def,short,5,I know the president of the university.
49,15,s,indef,long,2,I loved a policeman who was patrolling the neighborhood's sister.
11,2,of,def,short,5,I know the president of the university.
53,11,of,indef,short,5,I encountered the lawyer of a client.
16,14,s,def,long,1,I hated the store that was around the corner's manager.
8,10,s,indef,long,5,I yelled at a boat that crashed into the pier's owner.
19,10,s,indef,long,5,I yelled at a boat that crashed into the pier's owner.
22,13,of,indef,short,3,I took the toy of a child.
44,4,s,indef,long,2,I watched a television that was very large's screen.
23,0,of,indef,long,5,I forgot the title of a movie that I saw yesterday.
52,12,s,def,long,2,I smelled the tree that was in the woods's flowers.
24,1,s,def,long,4,I remembered the professor who I met two days ago's face.
27,15,of,indef,long,2,I loved the sister of a policeman who was patrolling the neighborhood.
25,6,of,def,short,5,I saw the driver of the car.
15,8,s,indef,long,1,I opened a cabin that was in the woods's door.
7,3,of,indef,long,5,I met the wife of a man who worked at the store.
39,6,s,def,long,2,I saw the car that was speeding down the street's driver.
40,2,of,indef,short,5,I know the president of a university.
9,13,of,def,long,5,I took the toy of the child who was in first grade.
10,7,s,def,short,4,I knew the doctor's patient.
32,1,of,indef,short,4,I remembered the face of a professor.
47,13,s,indef,long,2,I took a child who was in first grade's toy.
28,9,s,indef,short,5,I read a lawyer's book.
35,4,s,def,long,2,I watched the television that was very large's screen.
53,5,of,indef,short,5,I got the autograph of a celebrity.
6,11,s,indef,long,1,I encountered a client who was guilty of a crime's lawyer.
33,14,of,def,long,4,I hated the manager of the store that was around the corner.
8,6,of,def,long,5,I saw the driver of the car that was speeding down the street.
41,1,of,indef,long,5,I remembered the face of a professor who I met two days ago.
36,6,of,indef,long,5,I saw the driver of a car that was speeding down the street.
22,0,s,indef,long,1,I forgot a movie that I saw yesterday's title.
