WorkerId,item,construction,theme_length,theme_definiteness,recip_length,recip_definiteness,acceptability,sentence
14,3,do,short,indefinite,long,definite,2,The mailman delivered a professor who lived in an apartment the package.
15,15,do,short,definite,long,indefinite,4,The salesman sold the teenager who had come into some money a car.
17,13,do,long,definite,long,definite,4,The boss offered the employee who had been working for many years the raise that was long overdue.
18,14,po,short,indefinite,short,definite,4,The teacher taught the song to a student.
20,4,po,short,indefinite,long,definite,5,The lawyer sent the message to a client who was awaiting trial.
22,8,po,short,definite,long,indefinite,5,The child kicked a ball to the playmate who was several feet away.
28,1,do,short,definite,long,definite,4,The waiter handed the customer who was sitting at the table the cup.
23,7,do,short,indefinite,short,indefinite,5,The student showed a classmate a report.
9,0,po,short,indefinite,long,indefinite,4,The man gave a book to a woman who enjoyed birdwatching.
1,14,po,short,indefinite,short,indefinite,5,The teacher taught a song to a student.
2,11,po,short,definite,short,indefinite,5,The nurse mailed a report to the patient.
29,10,po,long,definite,short,indefinite,3,The caterer brought a meal that was specially prepared to the man.
4,3,po,long,definite,short,indefinite,5,The mailman delivered a package that contained a book to the professor.
5,10,do,short,definite,short,definite,4,The caterer brought the man the meal.
24,9,do,short,indefinite,long,indefinite,NA,The spy told an agent who was working for a foreign government a secret.
7,7,do,long,definite,long,definite,4,The student showed the classmate who was studying for a final the report that she had written for a class.
26,0,po,short,indefinite,short,definite,5,The man gave the book to a woman.
10,11,po,short,indefinite,short,definite,5,The nurse mailed the report to a patient.
30,2,po,long,indefinite,short,definite,4,The quarterback threw the football that was slightly deflated to a teammate.
14,9,po,long,definite,short,definite,4,The spy told the secret that was highly sensitive to the agent.
16,15,do,short,definite,long,definite,4,The salesman sold the teenager who had come into some money the car.
17,10,po,short,indefinite,long,indefinite,5,The caterer brought a meal to a man who was in a nursing home.
31,6,do,long,indefinite,long,indefinite,5,The professor granted a student who suffered from a rare illness an extension that was rarely allowed.
20,10,po,long,indefinite,long,definite,3,The caterer brought the meal that was specially prepared to a man who was in a nursing home.
32,3,po,long,definite,long,indefinite,4,The mailman delivered a package that contained a book to the professor who lived in an apartment.
9,1,po,short,indefinite,short,definite,3,The waiter handed the cup to a customer.
1,0,po,short,definite,long,indefinite,5,The man gave a book to the woman who enjoyed birdwatching.
2,14,po,short,indefinite,short,definite,5,The teacher taught the song to a student.
4,4,po,long,indefinite,long,definite,4,The lawyer sent the message that contained confidential information to a client who was awaiting trial.
25,6,po,short,indefinite,long,definite,4,The professor granted the extension to a student who suffered from a rare illness.
22,6,po,long,indefinite,short,indefinite,5,The professor granted an extension that was rarely allowed to a student.
33,5,do,long,indefinite,long,indefinite,2,The doctor handed a nurse who was standing in the hallway a form that contained patient information.
34,2,po,short,indefinite,short,definite,5,The quarterback threw the football to a teammate.
27,1,po,long,indefinite,long,definite,3,The waiter handed the cup that was full of water to a customer who was sitting at the table.
12,7,po,long,definite,short,definite,5,The student showed the report that she had written for a class to the classmate.
14,11,do,long,indefinite,short,definite,5,The nurse mailed a patient the report that was about the test results.
16,11,do,long,indefinite,long,definite,5,The nurse mailed a patient who had some blood work done the report that was about the test results.
31,4,do,long,definite,short,indefinite,5,The lawyer sent the client a message that contained confidential information.
19,11,po,short,definite,long,indefinite,5,The nurse mailed a report to the patient who had some blood work done.
1,4,do,long,definite,short,indefinite,5,The lawyer sent the client a message that contained confidential information.
2,2,do,long,definite,long,definite,1,The quarterback threw the teammate who was in the endzone the football that was slightly deflated.
35,15,po,short,indefinite,long,definite,5,The salesman sold the car to a teenager who had come into some money.
4,5,po,long,indefinite,long,indefinite,5,The doctor handed a form that contained patient information to a nurse who was standing in the hallway.
36,9,do,long,definite,short,indefinite,5,The spy told the agent a secret that was highly sensitive.
25,0,po,long,definite,long,definite,4,The man gave the book that was about birds to the woman who enjoyed birdwatching.
37,10,po,long,definite,long,definite,2,The caterer brought the meal that was specially prepared to the man who was in a nursing home.
27,13,po,short,definite,long,definite,5,The boss offered the raise to the employee who had been working for many years.
19,8,do,long,indefinite,long,definite,2,The child kicked a playmate who was several feet away the ball that was on the grass.
20,2,po,short,definite,short,definite,4,The quarterback threw the football to the teammate.
22,14,po,long,definite,long,indefinite,5,The teacher taught a song that was very catchy to the student who had a strong singing voice.
28,2,do,short,indefinite,short,indefinite,4,The quarterback threw a teammate a football.
1,9,do,short,definite,long,definite,2,The spy told the agent who was working for a foreign government the secret.
13,10,do,long,indefinite,short,definite,4,The caterer brought a man the meal that was specially prepared.
25,12,po,long,indefinite,long,definite,4,The librarian loaned the novel that was about the future to a retiree who was looking for reading material.
38,12,do,short,indefinite,long,indefinite,1,The librarian loaned a retiree who was looking for reading material a novel.
39,14,do,long,indefinite,short,definite,4,The teacher taught a student the song that was very catchy.
26,3,do,long,indefinite,short,indefinite,2,The mailman delivered a professor a package that contained a book.
9,11,do,long,definite,long,definite,4,The nurse mailed the patient who had some blood work done the report that was about the test results.
40,1,do,short,indefinite,long,definite,2,The waiter handed a customer who was sitting at the table the cup.
11,10,do,short,definite,short,indefinite,5,The caterer brought the man a meal.
15,0,do,long,definite,short,definite,3,The man gave the woman the book that was about birds.
24,8,do,short,indefinite,long,definite,3,The child kicked a playmate who was several feet away the ball.
17,0,po,short,definite,short,indefinite,5,The man gave a book to the woman.
36,2,po,short,indefinite,long,definite,5,The quarterback threw the football to a teammate who was in the endzone.
41,14,po,long,definite,short,definite,5,The teacher taught the song that was very catchy to the student.
42,4,po,long,indefinite,long,definite,5,The lawyer sent the message that contained confidential information to a client who was awaiting trial.
28,4,po,long,definite,long,indefinite,5,The lawyer sent a message that contained confidential information to the client who was awaiting trial.
33,13,po,short,indefinite,short,indefinite,4,The boss offered a raise to an employee.
1,12,po,short,indefinite,long,indefinite,2,The librarian loaned a novel to a retiree who was looking for reading material.
2,15,po,short,indefinite,short,indefinite,5,The salesman sold a car to a teenager.
35,1,po,long,indefinite,short,definite,1,The waiter handed the cup that was full of water to a customer.
19,2,po,short,indefinite,short,definite,5,The quarterback threw the football to a teammate.
7,5,po,short,indefinite,short,definite,5,The doctor handed the form to a nurse.
38,7,po,long,indefinite,short,definite,3,The student showed the report that she had written for a class to a classmate.
10,15,do,long,definite,short,definite,5,The salesman sold the teenager the car that had a lot of miles.
3,5,po,short,definite,short,indefinite,5,The doctor handed a form to the nurse.
30,10,po,long,definite,long,definite,4,The caterer brought the meal that was specially prepared to the man who was in a nursing home.
13,9,po,long,definite,short,indefinite,5,The spy told a secret that was highly sensitive to the agent.
21,6,po,short,definite,short,indefinite,5,The professor granted an extension to the student.
32,6,po,long,indefinite,long,definite,2,The professor granted the extension that was rarely allowed to a student who suffered from a rare illness.
8,11,do,long,indefinite,short,indefinite,4,The nurse mailed a patient a report that was about the test results.
1,13,po,short,indefinite,short,definite,4,The boss offered the raise to an employee.
2,8,do,long,indefinite,short,definite,2,The child kicked a playmate the ball that was on the grass.
35,14,po,short,definite,short,indefinite,5,The teacher taught a song to the student.
40,15,po,long,definite,short,definite,5,The salesman sold the car that had a lot of miles to the teenager.
15,2,do,short,definite,short,definite,5,The quarterback threw the teammate the football.
36,13,po,short,definite,long,indefinite,4,The boss offered a raise to the employee who had been working for many years.
25,15,po,long,indefinite,short,indefinite,5,The salesman sold a car that had a lot of miles to a teenager.
26,10,do,long,definite,long,definite,5,The caterer brought the man who was in a nursing home the meal that was specially prepared.
34,1,po,long,indefinite,short,indefinite,5,The waiter handed a cup that was full of water to a customer.
14,1,do,long,indefinite,long,definite,3,The waiter handed a customer who was sitting at the table the cup that was full of water.
43,0,po,short,indefinite,long,definite,5,The man gave the book to a woman who enjoyed birdwatching.
18,3,do,long,definite,long,indefinite,2,The mailman delivered the professor who lived in an apartment a package that contained a book.
42,0,do,short,definite,short,definite,5,The man gave the woman the book.
32,5,po,long,definite,short,indefinite,4,The doctor handed a form that contained patient information to the nurse.
28,3,po,long,definite,long,definite,4,The mailman delivered the package that contained a book to the professor who lived in an apartment.
27,12,po,long,indefinite,short,indefinite,3,The librarian loaned a novel that was about the future to a retiree.
29,8,po,short,indefinite,short,indefinite,5,The child kicked a ball to a playmate.
44,5,po,long,indefinite,short,indefinite,4,The doctor handed a form that contained patient information to a nurse.
40,9,po,short,definite,short,definite,5,The spy told the secret to the agent.
11,7,po,long,indefinite,short,definite,2,The student showed the report that she had written for a class to a classmate.
12,15,do,short,indefinite,long,definite,5,The salesman sold a teenager who had come into some money the car.
25,13,po,long,indefinite,long,indefinite,5,The boss offered a raise that was long overdue to an employee who had been working for many years.
21,9,po,short,indefinite,short,definite,5,The spy told the secret to an agent.
9,9,do,short,indefinite,long,definite,3,The spy told an agent who was working for a foreign government the secret.
10,1,po,short,indefinite,long,definite,5,The waiter handed the cup to a customer who was sitting at the table.
45,8,po,short,indefinite,long,indefinite,4,The child kicked a ball to a playmate who was several feet away.
24,6,do,short,definite,short,definite,4,The professor granted the student the extension.
7,15,po,short,definite,short,definite,5,The salesman sold the car to the teenager.
8,1,do,long,indefinite,long,indefinite,2,The waiter handed a customer who was sitting at the table a cup that was full of water.
29,4,po,short,definite,short,indefinite,5,The lawyer sent a message to the client.
44,0,do,short,indefinite,long,definite,2,The man gave a woman who enjoyed birdwatching the book.
40,2,po,long,definite,short,indefinite,5,The quarterback threw a football that was slightly deflated to the teammate.
4,1,do,short,definite,short,indefinite,5,The waiter handed the customer a cup.
17,6,do,long,indefinite,short,indefinite,4,The professor granted a student an extension that was rarely allowed.
25,3,po,short,definite,long,indefinite,5,The mailman delivered a package to the professor who lived in an apartment.
41,12,po,long,definite,long,definite,4,The librarian loaned the novel that was about the future to the retiree who was looking for reading material.
23,15,do,short,definite,long,indefinite,2,The salesman sold the teenager who had come into some money a car.
26,4,do,short,definite,long,definite,5,The lawyer sent the client who was awaiting trial the message.
33,3,do,long,definite,short,indefinite,4,The mailman delivered the professor a package that contained a book.
43,1,po,short,indefinite,long,indefinite,5,The waiter handed a cup to a customer who was sitting at the table.
38,13,do,short,indefinite,short,definite,5,The boss offered an employee the raise.
32,15,do,short,indefinite,short,indefinite,5,The salesman sold a teenager a car.
46,12,do,long,definite,long,definite,2,The librarian loaned the retiree who was looking for reading material the novel that was about the future.
35,11,po,short,definite,long,definite,5,The nurse mailed the report to the patient who had some blood work done.
44,14,po,long,definite,short,definite,2,The teacher taught the song that was very catchy to the student.
11,8,po,long,indefinite,short,indefinite,2,The child kicked a ball that was on the grass to a playmate.
5,2,po,long,definite,long,definite,5,The quarterback threw the football that was slightly deflated to the teammate who was in the endzone.
47,9,po,long,indefinite,short,definite,3,The spy told the secret that was highly sensitive to an agent.
24,4,do,short,definite,long,definite,4,The lawyer sent the client who was awaiting trial the message.
18,12,po,short,indefinite,long,definite,4,The librarian loaned the novel to a retiree who was looking for reading material.
20,11,po,long,indefinite,long,indefinite,4,The nurse mailed a report that was about the test results to a patient who had some blood work done.
25,11,po,long,definite,short,indefinite,5,The nurse mailed a report that was about the test results to the patient.
30,11,po,long,definite,long,indefinite,4,The nurse mailed a report that was about the test results to the patient who had some blood work done.
40,8,po,short,definite,long,indefinite,5,The child kicked a ball to the playmate who was several feet away.
15,3,do,short,definite,short,indefinite,1,The mailman delivered the professor a package.
43,6,do,short,definite,long,definite,5,The professor granted the student who suffered from a rare illness the extension.
31,8,do,long,indefinite,short,indefinite,4,The child kicked a playmate a ball that was on the grass.
21,12,po,long,definite,short,indefinite,4,The librarian loaned a novel that was about the future to the retiree.
37,15,po,long,indefinite,long,indefinite,3,The salesman sold a car that had a lot of miles to a teenager who had come into some money.
46,1,po,short,indefinite,long,indefinite,5,The waiter handed a cup to a customer who was sitting at the table.
45,13,po,long,indefinite,long,definite,2,The boss offered the raise that was long overdue to an employee who had been working for many years.
47,13,do,short,indefinite,long,definite,3,The boss offered an employee who had been working for many years the raise.
13,8,po,long,definite,short,definite,4,The child kicked the ball that was on the grass to the playmate.
24,1,po,short,indefinite,short,indefinite,5,The waiter handed a cup to a customer.
20,13,po,long,indefinite,short,indefinite,4,The boss offered a raise that was long overdue to an employee.
1,2,do,long,definite,long,indefinite,4,The quarterback threw the teammate who was in the endzone a football that was slightly deflated.
44,1,do,short,indefinite,long,indefinite,2,The waiter handed a customer who was sitting at the table a cup.
32,10,do,short,definite,short,definite,5,The caterer brought the man the meal.
48,1,do,long,definite,short,definite,4,The waiter handed the customer the cup that was full of water.
46,14,do,long,definite,short,definite,5,The teacher taught the student the song that was very catchy.
3,0,po,long,definite,long,definite,5,The man gave the book that was about birds to the woman who enjoyed birdwatching.
47,2,do,short,indefinite,short,indefinite,5,The quarterback threw a teammate a football.
14,2,do,short,definite,short,indefinite,4,The quarterback threw the teammate a football.
49,6,do,short,definite,short,indefinite,5,The professor granted the student an extension.
25,9,po,short,indefinite,short,indefinite,5,The spy told a secret to an agent.
41,0,do,short,indefinite,long,definite,5,The man gave a woman who enjoyed birdwatching the book.
38,2,po,long,definite,long,indefinite,4,The quarterback threw a football that was slightly deflated to the teammate who was in the endzone.
23,5,do,short,indefinite,long,indefinite,5,The doctor handed a nurse who was standing in the hallway a form.
33,10,po,short,indefinite,long,definite,3,The caterer brought the meal to a man who was in a nursing home.
45,5,po,short,definite,short,definite,5,The doctor handed the form to the nurse.
5,12,do,short,indefinite,long,definite,4,The librarian loaned a retiree who was looking for reading material the novel.
15,14,do,short,definite,long,definite,4,The teacher taught the student who had a strong singing voice the song.
31,11,po,short,indefinite,long,definite,5,The nurse mailed the report to a patient who had some blood work done.
20,6,po,short,indefinite,short,definite,4,The professor granted the extension to a student.
37,8,po,short,indefinite,long,definite,5,The child kicked the ball to a playmate who was several feet away.
8,9,po,long,definite,short,indefinite,3,The spy told a secret that was highly sensitive to the agent.
46,4,do,long,indefinite,short,definite,4,The lawyer sent a client the message that contained confidential information.
12,0,do,long,indefinite,long,indefinite,5,The man gave a woman who enjoyed birdwatching a book that was about birds.
13,14,do,short,definite,short,definite,5,The teacher taught the student the song.
50,11,po,long,indefinite,short,indefinite,4,The nurse mailed a report that was about the test results to a patient.
30,0,do,short,indefinite,short,definite,5,The man gave a woman the book.
11,3,po,long,definite,short,definite,4,The mailman delivered the package that contained a book to the professor.
49,10,do,long,definite,long,indefinite,5,The caterer brought the man who was in a nursing home a meal that was specially prepared.
19,14,po,short,indefinite,long,definite,4,The teacher taught the song to a student who had a strong singing voice.
22,15,po,long,definite,short,definite,5,The salesman sold the car that had a lot of miles to the teenager.
32,11,do,short,definite,short,indefinite,5,The nurse mailed the patient a report.
8,15,do,short,definite,short,indefinite,4,The salesman sold the teenager a car.
23,14,do,short,definite,long,definite,4,The teacher taught the student who had a strong singing voice the song.
51,5,do,short,definite,short,definite,5,The doctor handed the nurse the form.
26,9,do,short,indefinite,long,indefinite,5,The spy told an agent who was working for a foreign government a secret.
10,13,do,long,definite,long,definite,4,The boss offered the employee who had been working for many years the raise that was long overdue.
1,15,do,long,definite,long,definite,3,The salesman sold the teenager who had come into some money the car that had a lot of miles.
52,3,do,short,indefinite,short,indefinite,3,The mailman delivered a professor a package.
6,1,po,short,definite,long,definite,4,The waiter handed the cup to the customer who was sitting at the table.
36,1,po,long,indefinite,long,indefinite,5,The waiter handed a cup that was full of water to a customer who was sitting at the table.
20,12,po,long,indefinite,short,definite,4,The librarian loaned the novel that was about the future to a retiree.
37,14,po,long,indefinite,long,definite,4,The teacher taught the song that was very catchy to a student who had a strong singing voice.
38,1,do,short,definite,short,definite,5,The waiter handed the customer the cup.
9,5,do,short,definite,long,definite,4,The doctor handed the nurse who was standing in the hallway the form.
33,1,po,short,definite,short,indefinite,5,The waiter handed a cup to the customer.
50,2,po,short,indefinite,long,definite,4,The quarterback threw the football to a teammate who was in the endzone.
12,13,do,short,definite,short,definite,5,The boss offered the employee the raise.
16,3,do,short,definite,short,definite,3,The mailman delivered the professor the package.
49,13,do,long,indefinite,long,definite,5,The boss offered an employee who had been working for many years the raise that was long overdue.
24,12,do,long,definite,short,definite,4,The librarian loaned the retiree the novel that was about the future.
18,6,do,long,indefinite,long,definite,2,The professor granted a student who suffered from a rare illness the extension that was rarely allowed.
53,4,po,short,definite,short,indefinite,5,The lawyer sent a message to the client.
21,3,po,short,definite,long,definite,4,The mailman delivered the package to the professor who lived in an apartment.
10,2,do,long,definite,short,indefinite,NA,The quarterback threw the teammate a football that was slightly deflated.
45,11,po,long,definite,short,definite,3,The nurse mailed the report that was about the test results to the patient.
11,14,do,short,indefinite,short,indefinite,5,The teacher taught a student a song.
47,8,po,long,indefinite,long,indefinite,5,The child kicked a ball that was on the grass to a playmate who was several feet away.
37,11,po,long,definite,long,indefinite,4,The nurse mailed a report that was about the test results to the patient who had some blood work done.
22,11,do,short,indefinite,short,definite,5,The nurse mailed a patient the report.
23,3,do,short,definite,short,indefinite,5,The mailman delivered the professor a package.
9,2,do,long,indefinite,long,indefinite,2,The quarterback threw a teammate who was in the endzone a football that was slightly deflated.
50,10,po,long,indefinite,short,definite,1,The caterer brought the meal that was specially prepared to a man.
30,12,po,long,definite,short,definite,4,The librarian loaned the novel that was about the future to the retiree.
52,5,po,long,definite,long,indefinite,4,The doctor handed a form that contained patient information to the nurse who was standing in the hallway.
14,6,do,short,indefinite,short,indefinite,5,The professor granted a student an extension.
24,10,do,long,definite,long,definite,4,The caterer brought the man who was in a nursing home the meal that was specially prepared.
43,13,do,long,definite,long,indefinite,5,The boss offered the employee who had been working for many years a raise that was long overdue.
53,13,po,long,indefinite,short,definite,5,The boss offered the raise that was long overdue to an employee.
21,2,po,long,indefinite,short,indefinite,5,The quarterback threw a football that was slightly deflated to a teammate.
28,9,po,long,indefinite,short,definite,3,The spy told the secret that was highly sensitive to an agent.
11,9,po,short,definite,long,definite,3,The spy told the secret to the agent who was working for a foreign government.
20,1,po,long,definite,short,indefinite,5,The waiter handed a cup that was full of water to the customer.
37,0,do,short,indefinite,short,definite,4,The man gave a woman the book.
22,12,do,short,indefinite,short,indefinite,5,The librarian loaned a retiree a novel.
42,9,po,short,definite,long,indefinite,5,The spy told a secret to the agent who was working for a foreign government.
33,15,do,long,definite,long,indefinite,4,The salesman sold the teenager who had come into some money a car that had a lot of miles.
3,11,po,long,definite,short,indefinite,3,The nurse mailed a report that was about the test results to the patient.
45,3,po,short,definite,long,definite,3,The mailman delivered the package to the professor who lived in an apartment.
30,3,po,long,indefinite,short,indefinite,5,The mailman delivered a package that contained a book to a professor.
47,3,po,long,definite,long,definite,4,The mailman delivered the package that contained a book to the professor who lived in an apartment.
16,2,do,short,definite,long,indefinite,4,The quarterback threw the teammate who was in the endzone a football.
49,14,do,long,indefinite,long,indefinite,4,The teacher taught a student who had a strong singing voice a song that was very catchy.
36,0,po,long,indefinite,long,definite,5,The man gave the book that was about birds to a woman who enjoyed birdwatching.
28,11,do,short,definite,short,definite,5,The nurse mailed the patient the report.
23,9,po,long,definite,long,indefinite,5,The spy told a secret that was highly sensitive to the agent who was working for a foreign government.
46,3,do,long,indefinite,long,indefinite,2,The mailman delivered a professor who lived in an apartment a package that contained a book.
5,13,do,short,indefinite,long,indefinite,3,The boss offered an employee who had been working for many years a raise.
21,4,po,short,definite,long,indefinite,5,The lawyer sent a message to the client who was awaiting trial.
22,10,do,short,indefinite,long,indefinite,5,The caterer brought a man who was in a nursing home a meal.
42,8,po,short,definite,long,definite,5,The child kicked the ball to the playmate who was several feet away.
38,11,do,short,indefinite,long,definite,3,The nurse mailed a patient who had some blood work done the report.
45,2,po,long,indefinite,short,indefinite,4,The quarterback threw a football that was slightly deflated to a teammate.
30,5,po,short,definite,long,indefinite,5,The doctor handed a form to the nurse who was standing in the hallway.
11,5,po,long,indefinite,long,definite,5,The doctor handed the form that contained patient information to a nurse who was standing in the hallway.
13,5,do,short,indefinite,short,indefinite,5,The doctor handed a nurse a form.
43,14,do,long,definite,short,definite,5,The teacher taught the student the song that was very catchy.
17,15,do,long,definite,short,definite,4,The salesman sold the teenager the car that had a lot of miles.
19,10,po,short,definite,long,definite,4,The caterer brought the meal to the man who was in a nursing home.
53,1,po,long,definite,short,definite,4,The waiter handed the cup that was full of water to the customer.
32,0,do,short,definite,long,definite,4,The man gave the woman who enjoyed birdwatching the book.
54,15,do,short,definite,short,definite,5,The salesman sold the teenager the car.
9,10,po,short,indefinite,short,indefinite,3,The caterer brought a meal to a man.
35,9,do,long,indefinite,long,definite,5,The spy told an agent who was working for a foreign government the secret that was highly sensitive.
29,15,po,short,definite,long,definite,5,The salesman sold the car to the teenager who had come into some money.
6,4,do,long,definite,long,indefinite,5,The lawyer sent the client who was awaiting trial a message that contained confidential information.
37,6,po,short,definite,short,definite,4,The professor granted the extension to the student.
41,5,po,long,indefinite,short,indefinite,5,The doctor handed a form that contained patient information to a nurse.
42,3,po,long,definite,short,indefinite,5,The mailman delivered a package that contained a book to the professor.
23,11,do,long,indefinite,long,indefinite,2,The nurse mailed a patient who had some blood work done a report that was about the test results.
46,0,po,short,indefinite,long,definite,4,The man gave the book to a woman who enjoyed birdwatching.
40,5,po,long,indefinite,short,definite,5,The doctor handed the form that contained patient information to a nurse.
19,12,po,short,definite,short,definite,5,The librarian loaned the novel to the retiree.
22,2,po,long,definite,short,indefinite,5,The quarterback threw a football that was slightly deflated to the teammate.
32,9,po,long,indefinite,short,indefinite,5,The spy told a secret that was highly sensitive to an agent.
9,15,do,long,indefinite,long,definite,1,The salesman sold a teenager who had come into some money the car that had a lot of miles.
10,8,do,short,definite,long,indefinite,4,The child kicked the playmate who was several feet away a ball.
35,0,po,long,indefinite,long,indefinite,5,The man gave a book that was about birds to a woman who enjoyed birdwatching.
27,0,po,long,definite,short,indefinite,4,The man gave a book that was about birds to the woman.
5,7,po,long,indefinite,long,indefinite,2,The student showed a report that she had written for a class to a classmate who was studying for a final.
16,10,do,long,definite,short,indefinite,5,The caterer brought the man a meal that was specially prepared.
36,3,po,short,indefinite,long,indefinite,5,The mailman delivered a package to a professor who lived in an apartment.
41,4,po,long,indefinite,short,definite,5,The lawyer sent the message that contained confidential information to a client.
28,13,do,short,indefinite,long,definite,4,The boss offered an employee who had been working for many years the raise.
54,10,do,long,indefinite,long,indefinite,5,The caterer brought a man who was in a nursing home a meal that was specially prepared.
29,9,do,long,definite,long,definite,5,The spy told the agent who was working for a foreign government the secret that was highly sensitive.
11,2,po,long,definite,long,indefinite,5,The quarterback threw a football that was slightly deflated to the teammate who was in the endzone.
47,6,po,long,definite,short,indefinite,4,The professor granted an extension that was rarely allowed to the student.
18,1,po,short,definite,long,indefinite,4,The waiter handed a cup to the customer who was sitting at the table.
7,1,po,long,indefinite,long,definite,4,The waiter handed the cup that was full of water to a customer who was sitting at the table.
37,3,po,long,indefinite,short,indefinite,4,The mailman delivered a package that contained a book to a professor.
42,6,po,long,indefinite,short,definite,4,The professor granted the extension that was rarely allowed to a student.
38,5,po,long,indefinite,long,definite,5,The doctor handed the form that contained patient information to a nurse who was standing in the hallway.
51,10,do,long,definite,long,indefinite,4,The caterer brought the man who was in a nursing home a meal that was specially prepared.
26,13,do,long,definite,short,indefinite,5,The boss offered the employee a raise that was long overdue.
46,13,do,long,definite,long,indefinite,4,The boss offered the employee who had been working for many years a raise that was long overdue.
27,2,po,short,definite,short,indefinite,5,The quarterback threw a football to the teammate.
4,14,po,long,definite,long,definite,3,The teacher taught the song that was very catchy to the student who had a strong singing voice.
52,0,do,long,indefinite,short,definite,2,The man gave a woman the book that was about birds.
12,2,do,short,indefinite,long,indefinite,5,The quarterback threw a teammate who was in the endzone a football.
21,5,po,short,definite,short,definite,5,The doctor handed the form to the nurse.
28,15,do,short,indefinite,short,definite,5,The salesman sold a teenager the car.
8,2,do,short,indefinite,long,definite,2,The quarterback threw a teammate who was in the endzone the football.
48,10,do,long,definite,short,indefinite,3,The caterer brought the man a meal that was specially prepared.
44,11,do,short,indefinite,short,indefinite,4,The nurse mailed a patient a report.
5,14,do,short,indefinite,short,definite,5,The teacher taught a student the song.
14,5,do,short,indefinite,short,definite,4,The doctor handed a nurse the form.
16,13,do,long,indefinite,short,definite,5,The boss offered an employee the raise that was long overdue.
43,2,do,long,indefinite,long,definite,5,The quarterback threw a teammate who was in the endzone the football that was slightly deflated.
17,9,do,short,definite,short,definite,5,The spy told the agent the secret.
19,9,do,long,indefinite,long,indefinite,4,The spy told an agent who was working for a foreign government a secret that was highly sensitive.
20,14,po,short,definite,long,definite,4,The teacher taught the song to the student who had a strong singing voice.
37,1,do,short,indefinite,short,indefinite,5,The waiter handed a customer a cup.
41,11,do,short,indefinite,short,indefinite,5,The nurse mailed a patient a report.
39,10,do,long,definite,short,definite,4,The caterer brought the man the meal that was specially prepared.
51,8,do,short,indefinite,long,indefinite,4,The child kicked a playmate who was several feet away a ball.
50,1,po,long,indefinite,long,indefinite,2,The waiter handed a cup that was full of water to a customer who was sitting at the table.
3,6,po,short,indefinite,long,definite,5,The professor granted the extension to a student who suffered from a rare illness.
