,animacy,order,length,item,verb,particle,WorkerId,acceptability
88,inanim,unshifted,short,5_low_inanim,argue,down,88,3
89,inanim,unshifted,short,5_low_inanim,argue,down,89,4
90,inanim,unshifted,long,13_high_inanim,factor,in,90,5
91,inanim,unshifted,long,9_high_inanim,wolf,down,91,3
92,inanim,shifted,long,20_high_inanim,divvy,up,92,5
93,inanim,unshifted,long,11_low_inanim,deal,out,93,4
94,anim,unshifted,long,13_high_anim,rip,off,94,4
95,inanim,unshifted,long,3_low_inanim,wish,away,95,2
96,inanim,shifted,long,9_high_inanim,wolf,down,96,3
97,inanim,unshifted,short,5_high_inanim,squirrel,away,97,4
98,inanim,shifted,long,16_high_inanim,flesh,out,98,5
99,inanim,shifted,long,14_low_inanim,buy,up,99,4
100,inanim,shifted,long,5_high_inanim,squirrel,away,100,5
101,inanim,unshifted,long,5_high_inanim,squirrel,away,101,2
102,anim,unshifted,long,8_high_anim,bog,down,102,1
103,inanim,shifted,short,7_low_inanim,move,in,103,4
104,inanim,unshifted,long,16_high_inanim,flesh,out,104,2
105,anim,shifted,short,14_high_anim,egg,on,105,5
106,inanim,shifted,short,11_low_inanim,deal,out,106,5
107,anim,unshifted,long,14_high_anim,egg,on,1,2
108,anim,unshifted,long,10_high_anim,rein,in,107,2
109,inanim,unshifted,long,11_low_inanim,deal,out,2,2
110,inanim,shifted,long,7_low_inanim,move,in,3,3
111,anim,unshifted,long,13_low_anim,talk,up,4,4
112,inanim,unshifted,long,5_low_inanim,argue,down,108,4
113,anim,unshifted,short,5_low_anim,laugh,down,5,1
114,anim,shifted,long,18_high_anim,pep,up,109,3
115,anim,unshifted,long,18_high_anim,pep,up,6,1
116,anim,unshifted,long,15_high_anim,bail,out,7,1
117,anim,shifted,short,3_low_anim,send,away,8,4
118,anim,shifted,short,6_high_anim,bring,back,9,4
119,anim,shifted,long,6_low_anim,do,in,10,2
120,inanim,unshifted,long,3_low_inanim,wish,away,110,2
121,anim,shifted,short,6_low_anim,do,in,11,5
122,anim,unshifted,short,3_low_anim,send,away,111,5
123,inanim,shifted,short,5_low_inanim,argue,down,13,4
124,inanim,shifted,long,14_low_inanim,buy,up,14,2
125,inanim,shifted,short,14_low_inanim,buy,up,112,5
126,anim,unshifted,short,6_high_anim,bring,back,15,2
127,anim,shifted,long,5_low_anim,laugh,down,16,2
128,anim,shifted,short,13_high_anim,rip,off,113,5
129,inanim,unshifted,long,14_low_inanim,buy,up,17,4
130,anim,shifted,long,8_high_anim,bog,down,18,3
131,anim,unshifted,short,9_low_anim,lead,on,114,5
132,anim,shifted,short,5_low_anim,laugh,down,115,2
133,anim,unshifted,short,13_high_anim,rip,off,19,4
134,inanim,shifted,long,11_low_inanim,deal,out,20,4
135,anim,shifted,long,4_low_anim,drive,back,21,2
136,anim,shifted,short,18_high_anim,pep,up,22,5
137,inanim,unshifted,short,9_low_inanim,read,off,23,5
138,anim,shifted,short,18_high_anim,pep,up,24,4
139,anim,unshifted,long,3_low_anim,send,away,25,4
140,anim,unshifted,long,5_low_anim,laugh,down,26,4
141,anim,shifted,short,14_high_anim,egg,on,116,5
142,anim,shifted,short,6_high_anim,bring,back,117,4
143,anim,unshifted,short,5_low_anim,laugh,down,27,4
144,inanim,unshifted,short,9_low_inanim,read,off,28,4
145,inanim,unshifted,short,11_low_inanim,deal,out,29,4
146,inanim,shifted,long,5_low_inanim,argue,down,118,2
147,anim,shifted,short,13_high_anim,rip,off,30,5
148,anim,shifted,long,3_low_anim,send,away,31,5
149,anim,shifted,short,13_low_anim,talk,up,32,4
150,anim,shifted,long,3_low_anim,send,away,33,5
151,inanim,unshifted,short,9_low_inanim,read,off,119,4
152,inanim,shifted,long,14_low_inanim,buy,up,34,4
153,anim,unshifted,long,7_low_anim,see,off,35,5
154,anim,unshifted,short,18_high_anim,pep,up,36,4
155,anim,shifted,long,10_high_anim,rein,in,37,5
156,anim,unshifted,long,15_high_anim,bail,out,120,4
157,inanim,unshifted,short,11_low_inanim,deal,out,38,4
158,anim,shifted,long,13_high_anim,rip,off,121,5
159,inanim,shifted,short,3_low_inanim,wish,away,122,5
160,inanim,unshifted,short,14_low_inanim,buy,up,39,5
161,inanim,unshifted,short,13_high_inanim,factor,in,123,4
162,anim,shifted,long,5_low_anim,laugh,down,124,2
163,anim,unshifted,short,14_high_anim,egg,on,40,5
164,anim,shifted,long,6_high_anim,bring,back,41,4
165,anim,shifted,short,13_low_anim,talk,up,42,5
166,inanim,unshifted,short,3_low_inanim,wish,away,43,5
167,anim,unshifted,short,14_high_anim,egg,on,44,5
168,anim,shifted,short,18_high_anim,pep,up,45,5
169,anim,unshifted,long,7_low_anim,see,off,125,1
170,anim,unshifted,short,5_high_anim,scare,away,46,5
171,inanim,unshifted,short,7_low_inanim,move,in,47,5
172,anim,shifted,long,5_low_anim,laugh,down,126,4
173,anim,shifted,short,15_high_anim,bail,out,127,5
174,anim,unshifted,long,4_low_anim,drive,back,48,2
175,anim,unshifted,short,13_high_anim,rip,off,49,5
176,anim,unshifted,short,4_low_anim,drive,back,50,4
177,anim,unshifted,long,5_low_anim,laugh,down,128,1
178,anim,shifted,short,5_high_anim,scare,away,51,4
179,anim,unshifted,long,8_high_anim,bog,down,52,2
180,anim,unshifted,short,7_low_anim,see,off,53,4
181,anim,shifted,long,13_low_anim,talk,up,54,4
182,anim,shifted,short,6_low_anim,do,in,55,2
183,anim,unshifted,long,7_low_anim,see,off,129,1
184,anim,unshifted,long,6_low_anim,do,in,56,1
185,inanim,shifted,long,15_high_inanim,pass,on,130,5
186,inanim,shifted,long,7_low_inanim,move,in,57,2
187,inanim,shifted,short,11_low_inanim,deal,out,58,4
188,anim,unshifted,long,6_low_anim,do,in,59,1
189,anim,shifted,short,5_high_anim,scare,away,60,5
190,inanim,unshifted,long,5_low_inanim,argue,down,61,1
191,inanim,shifted,short,10_low_inanim,have,on,131,4
192,anim,shifted,long,6_low_anim,do,in,132,2
193,inanim,unshifted,long,5_low_inanim,argue,down,133,2
194,anim,unshifted,long,18_high_anim,pep,up,63,3
195,anim,unshifted,short,9_low_anim,lead,on,64,5
196,anim,shifted,long,6_high_anim,bring,back,65,2
197,inanim,unshifted,long,5_low_inanim,argue,down,134,4
198,anim,unshifted,long,13_low_anim,talk,up,66,2
199,anim,unshifted,long,10_high_anim,rein,in,67,3
200,inanim,unshifted,long,3_low_inanim,wish,away,135,4
201,anim,unshifted,short,13_high_anim,rip,off,69,3
202,anim,shifted,long,13_high_anim,rip,off,70,5
203,inanim,shifted,short,3_low_inanim,wish,away,71,3
204,anim,unshifted,short,9_low_anim,lead,on,136,4
205,anim,unshifted,short,15_high_anim,bail,out,72,5
206,anim,shifted,long,10_low_anim,show,out,137,4
207,inanim,shifted,short,9_low_inanim,read,off,73,5
208,inanim,unshifted,short,11_low_inanim,deal,out,74,4
209,inanim,unshifted,long,7_low_inanim,move,in,75,2
210,anim,unshifted,long,14_high_anim,egg,on,76,1
211,anim,shifted,long,9_low_anim,lead,on,77,2
212,anim,shifted,long,6_low_anim,do,in,78,4
213,anim,shifted,long,9_low_anim,lead,on,79,4
214,anim,shifted,long,15_high_anim,bail,out,80,5
215,inanim,shifted,short,4_low_inanim,force,back,138,5
216,inanim,shifted,long,9_low_inanim,read,off,81,5
217,inanim,unshifted,short,5_low_inanim,argue,down,82,3
218,anim,shifted,short,18_high_anim,pep,up,139,4
219,anim,shifted,long,4_low_anim,drive,back,83,4
220,anim,shifted,long,13_low_anim,talk,up,85,4
221,anim,shifted,short,5_high_anim,scare,away,140,5
222,anim,unshifted,short,8_high_anim,bog,down,86,3
223,anim,shifted,long,3_low_anim,send,away,87,4
224,anim,unshifted,short,5_high_anim,scare,away,88,4
225,anim,shifted,long,3_low_anim,send,away,89,5
226,anim,unshifted,short,5_high_anim,scare,away,90,5
227,anim,unshifted,long,4_low_anim,drive,back,91,2
228,inanim,shifted,long,4_low_inanim,force,back,92,4
229,anim,unshifted,short,3_low_anim,send,away,93,5
230,inanim,unshifted,short,9_high_inanim,wolf,down,141,5
231,anim,unshifted,long,13_low_anim,talk,up,94,2
232,anim,unshifted,long,8_high_anim,bog,down,95,4
233,anim,unshifted,short,7_low_anim,see,off,96,5
234,inanim,shifted,long,10_low_inanim,have,on,142,3
235,inanim,shifted,long,3_low_inanim,wish,away,143,4
236,anim,unshifted,short,13_high_anim,rip,off,144,4
237,inanim,unshifted,short,14_high_inanim,stave,off,145,2
238,anim,unshifted,short,13_high_anim,rip,off,97,5
239,anim,shifted,short,10_high_anim,rein,in,98,5
240,inanim,unshifted,short,10_low_inanim,have,on,100,5
241,anim,shifted,long,15_high_anim,bail,out,101,5
242,anim,shifted,long,13_low_anim,talk,up,102,5
243,anim,shifted,short,6_high_anim,bring,back,103,3
244,anim,unshifted,long,8_high_anim,bog,down,104,1
245,anim,shifted,short,7_low_anim,see,off,105,5
246,anim,shifted,short,6_low_anim,do,in,106,5
247,anim,shifted,long,10_low_anim,show,out,1,4
248,anim,unshifted,long,6_low_anim,do,in,2,1
249,anim,unshifted,long,18_high_anim,pep,up,3,2
250,inanim,shifted,short,7_low_inanim,move,in,5,4
251,inanim,shifted,short,16_high_inanim,flesh,out,6,4
252,inanim,shifted,long,5_low_inanim,argue,down,7,4
253,inanim,unshifted,short,4_low_inanim,force,back,8,4
254,inanim,shifted,long,5_low_inanim,argue,down,10,5
255,anim,shifted,long,5_low_anim,laugh,down,13,3
256,anim,shifted,short,7_low_anim,see,off,112,2
257,anim,shifted,short,10_low_anim,show,out,15,5
258,anim,unshifted,short,8_high_anim,bog,down,16,3
259,anim,unshifted,short,9_low_anim,lead,on,17,5
260,inanim,shifted,long,9_low_inanim,read,off,115,4
261,anim,shifted,short,5_low_anim,laugh,down,22,3
262,anim,unshifted,long,7_low_anim,see,off,23,5
263,inanim,unshifted,short,16_high_inanim,flesh,out,25,5
264,inanim,shifted,short,16_high_inanim,flesh,out,26,5
265,anim,shifted,long,18_high_anim,pep,up,28,4
266,anim,shifted,long,7_low_anim,see,off,29,2
267,inanim,unshifted,short,9_low_inanim,read,off,30,5
268,anim,unshifted,short,13_high_anim,rip,off,31,5
269,anim,shifted,short,5_high_anim,scare,away,32,4
270,inanim,shifted,long,14_low_inanim,buy,up,33,5
271,anim,shifted,short,5_high_anim,scare,away,119,4
272,inanim,shifted,short,14_high_inanim,stave,off,35,5
273,inanim,unshifted,long,3_low_inanim,wish,away,36,3
274,anim,unshifted,short,13_high_anim,rip,off,38,4
275,inanim,unshifted,long,16_high_inanim,flesh,out,121,2
276,inanim,unshifted,long,14_high_inanim,stave,off,40,1
277,inanim,shifted,long,4_low_inanim,force,back,42,5
278,anim,shifted,short,6_low_anim,do,in,43,5
279,anim,shifted,long,9_low_anim,lead,on,44,5
280,inanim,unshifted,long,20_high_inanim,divvy,up,146,5
281,inanim,shifted,long,5_high_inanim,squirrel,away,48,5
282,anim,shifted,long,6_low_anim,do,in,52,3
283,inanim,unshifted,long,9_high_inanim,wolf,down,54,4
284,anim,unshifted,short,15_high_anim,bail,out,58,5
285,anim,shifted,short,10_low_anim,show,out,61,1
286,anim,unshifted,long,8_high_anim,bog,down,132,2
287,anim,unshifted,short,6_low_anim,do,in,63,4
288,inanim,unshifted,short,9_high_inanim,wolf,down,64,4
289,anim,unshifted,short,13_low_anim,talk,up,65,3
290,anim,unshifted,long,3_low_anim,send,away,147,3
291,inanim,unshifted,short,7_low_inanim,move,in,66,5
292,anim,unshifted,long,10_low_anim,show,out,69,1
293,anim,unshifted,short,13_low_anim,talk,up,71,3
294,inanim,unshifted,long,7_high_inanim,scale,back,136,3
295,anim,shifted,short,4_low_anim,drive,back,73,4
296,anim,shifted,short,10_high_anim,rein,in,77,4
297,inanim,unshifted,short,15_high_inanim,pass,on,79,5
298,anim,shifted,short,8_high_anim,bog,down,82,4
299,inanim,shifted,short,9_low_inanim,read,off,87,5
300,inanim,shifted,long,15_high_inanim,pass,on,88,4
301,anim,unshifted,short,6_high_anim,bring,back,93,5
302,anim,unshifted,short,14_high_anim,egg,on,96,5
303,anim,shifted,short,5_low_anim,laugh,down,98,2
304,inanim,unshifted,long,20_high_inanim,divvy,up,99,3
305,inanim,shifted,long,3_low_inanim,wish,away,101,4
306,inanim,unshifted,short,3_low_inanim,wish,away,1,5
307,anim,unshifted,long,13_high_anim,rip,off,2,1
308,anim,unshifted,short,14_high_anim,egg,on,4,5
309,anim,shifted,long,5_high_anim,scare,away,5,5
310,inanim,shifted,short,3_low_inanim,wish,away,6,4
311,inanim,unshifted,short,13_high_inanim,factor,in,7,4
312,anim,shifted,long,5_high_anim,scare,away,8,3
313,inanim,shifted,short,15_high_inanim,pass,on,9,5
314,anim,unshifted,long,15_high_anim,bail,out,10,2
315,anim,unshifted,short,10_low_anim,show,out,110,5
316,anim,unshifted,short,8_high_anim,bog,down,11,5
317,inanim,unshifted,short,7_high_inanim,scale,back,12,5
318,inanim,shifted,short,5_high_inanim,squirrel,away,13,5
319,inanim,unshifted,short,20_high_inanim,divvy,up,112,5
320,inanim,shifted,long,10_low_inanim,have,on,16,1
321,inanim,unshifted,short,9_high_inanim,wolf,down,17,5
322,inanim,unshifted,long,9_high_inanim,wolf,down,20,2
323,inanim,unshifted,short,7_high_inanim,scale,back,21,3
324,inanim,unshifted,short,7_low_inanim,move,in,24,5
325,anim,unshifted,short,8_high_anim,bog,down,25,4
326,inanim,unshifted,short,9_high_inanim,wolf,down,28,4
327,inanim,unshifted,short,5_high_inanim,squirrel,away,29,4
328,inanim,unshifted,short,20_high_inanim,divvy,up,118,2
329,inanim,unshifted,long,15_high_inanim,pass,on,30,1
330,inanim,shifted,short,5_low_inanim,argue,down,32,5
331,anim,unshifted,short,5_high_anim,scare,away,33,5
332,inanim,unshifted,long,7_high_inanim,scale,back,119,3
333,anim,shifted,short,13_high_anim,rip,off,35,5
334,inanim,shifted,short,7_high_inanim,scale,back,36,5
335,inanim,shifted,short,16_high_inanim,flesh,out,38,5
336,anim,unshifted,short,6_high_anim,bring,back,39,5
337,inanim,unshifted,long,9_low_inanim,read,off,123,4
338,inanim,unshifted,long,5_low_inanim,argue,down,40,4
339,inanim,unshifted,short,16_high_inanim,flesh,out,43,4
340,inanim,shifted,long,9_high_inanim,wolf,down,44,5
341,inanim,shifted,short,4_low_inanim,force,back,45,5
342,inanim,unshifted,long,3_low_inanim,wish,away,48,2
343,inanim,shifted,long,14_low_inanim,buy,up,49,5
344,anim,shifted,long,10_high_anim,rein,in,50,4
345,inanim,shifted,long,13_high_inanim,factor,in,51,2
346,inanim,shifted,short,14_low_inanim,buy,up,52,5
347,inanim,unshifted,long,9_low_inanim,read,off,54,5
348,anim,shifted,long,5_high_anim,scare,away,148,4
349,inanim,shifted,long,4_low_inanim,force,back,55,1
350,anim,shifted,short,5_high_anim,scare,away,129,5
351,inanim,shifted,short,4_low_inanim,force,back,56,4
352,anim,unshifted,short,13_high_anim,rip,off,130,5
353,inanim,shifted,short,14_high_inanim,stave,off,58,5
354,inanim,shifted,short,10_low_inanim,have,on,59,3
355,inanim,shifted,short,20_high_inanim,divvy,up,61,5
356,inanim,shifted,long,5_low_inanim,argue,down,132,4
357,anim,unshifted,short,18_high_anim,pep,up,62,3
358,inanim,unshifted,short,9_low_inanim,read,off,64,4
359,inanim,shifted,short,16_high_inanim,flesh,out,68,2
360,inanim,unshifted,long,10_low_inanim,have,on,69,1
361,inanim,shifted,long,15_high_inanim,pass,on,71,2
362,inanim,shifted,short,16_high_inanim,flesh,out,73,2
363,inanim,unshifted,short,16_high_inanim,flesh,out,75,4
364,inanim,shifted,long,4_low_inanim,force,back,76,3
365,inanim,shifted,long,3_low_inanim,wish,away,79,3
366,inanim,shifted,long,3_low_inanim,wish,away,83,2
367,inanim,shifted,long,11_low_inanim,deal,out,85,5
368,inanim,unshifted,short,3_low_inanim,wish,away,86,2
369,inanim,unshifted,short,11_low_inanim,deal,out,88,3
370,inanim,unshifted,short,16_high_inanim,flesh,out,92,4
371,inanim,shifted,long,9_low_inanim,read,off,93,5
372,inanim,shifted,long,5_low_inanim,argue,down,95,5
373,inanim,shifted,short,20_high_inanim,divvy,up,96,5
374,inanim,shifted,short,9_high_inanim,wolf,down,97,5
375,inanim,unshifted,short,15_high_inanim,pass,on,98,5
376,inanim,unshifted,short,15_high_inanim,pass,on,149,5
377,inanim,shifted,short,3_low_inanim,wish,away,99,5
378,inanim,unshifted,short,7_high_inanim,scale,back,101,5
379,anim,shifted,long,13_high_anim,rip,off,102,5
380,inanim,unshifted,long,9_high_inanim,wolf,down,104,2
381,anim,shifted,short,13_high_anim,rip,off,1,5
382,anim,shifted,long,6_high_anim,bring,back,107,5
383,inanim,unshifted,short,7_low_inanim,move,in,2,5
384,anim,unshifted,long,5_low_anim,laugh,down,3,2
385,anim,unshifted,short,3_low_anim,send,away,4,5
386,anim,shifted,long,6_low_anim,do,in,5,2
387,inanim,unshifted,long,15_high_inanim,pass,on,109,3
388,anim,unshifted,short,5_high_anim,scare,away,6,5
389,anim,shifted,short,6_high_anim,bring,back,7,3
390,anim,shifted,long,13_low_anim,talk,up,8,4
391,anim,unshifted,long,15_high_anim,bail,out,9,3
392,anim,unshifted,long,9_low_anim,lead,on,10,1
393,inanim,unshifted,short,4_low_inanim,force,back,110,4
394,anim,unshifted,short,4_low_anim,drive,back,11,5
395,anim,shifted,long,8_high_anim,bog,down,12,5
396,inanim,shifted,short,11_low_inanim,deal,out,13,5
397,inanim,shifted,long,15_high_inanim,pass,on,14,2
398,inanim,unshifted,long,9_low_inanim,read,off,112,4
399,inanim,shifted,long,7_low_inanim,move,in,150,1
400,anim,shifted,short,13_low_anim,talk,up,16,4
401,inanim,unshifted,long,7_low_inanim,move,in,17,3
402,inanim,unshifted,short,15_high_inanim,pass,on,18,4
403,anim,unshifted,short,4_low_anim,drive,back,114,5
404,inanim,unshifted,long,5_high_inanim,squirrel,away,151,4
405,inanim,unshifted,short,4_low_inanim,force,back,20,3
406,anim,unshifted,long,13_low_anim,talk,up,21,1
407,anim,unshifted,short,6_high_anim,bring,back,22,5
408,inanim,unshifted,short,9_high_inanim,wolf,down,23,5
409,anim,shifted,long,8_high_anim,bog,down,24,4
410,inanim,unshifted,long,7_high_inanim,scale,back,152,1
411,anim,shifted,short,6_low_anim,do,in,25,4
412,anim,shifted,long,7_low_anim,see,off,26,5
413,anim,unshifted,long,15_high_anim,bail,out,116,3
414,inanim,unshifted,short,3_low_inanim,wish,away,28,2
415,inanim,shifted,long,14_low_inanim,buy,up,29,4
416,inanim,unshifted,long,9_low_inanim,read,off,118,2
417,anim,shifted,long,18_high_anim,pep,up,30,4
418,anim,unshifted,long,5_low_anim,laugh,down,31,1
419,anim,shifted,short,6_low_anim,do,in,32,4
420,anim,unshifted,short,6_low_anim,do,in,33,5
421,anim,unshifted,long,3_low_anim,send,away,35,4
422,anim,shifted,short,14_high_anim,egg,on,36,5
423,inanim,unshifted,short,9_high_inanim,wolf,down,37,5
424,inanim,unshifted,short,5_low_inanim,argue,down,38,4
425,anim,unshifted,short,10_high_anim,rein,in,121,5
426,inanim,unshifted,short,11_low_inanim,deal,out,122,5
427,inanim,shifted,short,10_low_inanim,have,on,39,5
428,inanim,unshifted,long,9_high_inanim,wolf,down,123,2
429,anim,shifted,long,10_low_anim,show,out,124,2
430,anim,shifted,long,15_high_anim,bail,out,40,5
431,inanim,shifted,short,9_high_inanim,wolf,down,41,5
432,anim,shifted,long,5_low_anim,laugh,down,42,4
433,inanim,shifted,short,5_low_inanim,argue,down,43,5
434,anim,unshifted,short,6_high_anim,bring,back,44,4
435,anim,unshifted,short,14_high_anim,egg,on,45,5
436,inanim,unshifted,short,14_high_inanim,stave,off,46,3
437,inanim,shifted,long,9_low_inanim,read,off,47,5
438,anim,shifted,short,13_high_anim,rip,off,126,5
439,anim,shifted,long,14_high_anim,egg,on,127,5
440,anim,shifted,short,7_low_anim,see,off,48,4
441,anim,unshifted,long,18_high_anim,pep,up,49,4
442,anim,unshifted,long,7_low_anim,see,off,50,5
443,anim,unshifted,short,8_high_anim,bog,down,51,4
444,anim,shifted,long,13_high_anim,rip,off,52,5
445,inanim,shifted,short,4_low_inanim,force,back,53,5
446,anim,unshifted,short,10_low_anim,show,out,54,5
447,anim,unshifted,long,3_low_anim,send,away,55,3
448,anim,shifted,short,13_low_anim,talk,up,129,4
449,anim,unshifted,short,3_low_anim,send,away,56,4
450,inanim,shifted,long,7_high_inanim,scale,back,130,5
451,inanim,unshifted,long,10_low_inanim,have,on,57,1
452,inanim,shifted,long,4_low_inanim,force,back,58,5
453,anim,shifted,long,9_low_anim,lead,on,59,4
454,inanim,unshifted,long,11_low_inanim,deal,out,61,1
455,anim,unshifted,short,10_low_anim,show,out,132,5
456,anim,unshifted,long,9_low_anim,lead,on,62,2
457,inanim,unshifted,short,14_low_inanim,buy,up,133,4
458,inanim,unshifted,short,14_high_inanim,stave,off,63,3
459,anim,unshifted,long,3_low_anim,send,away,64,4
460,anim,unshifted,long,18_high_anim,pep,up,65,2
461,inanim,unshifted,short,3_low_inanim,wish,away,147,1
462,anim,unshifted,long,6_low_anim,do,in,66,2
463,inanim,unshifted,long,10_low_inanim,have,on,68,5
464,inanim,shifted,short,7_low_inanim,move,in,135,5
465,anim,shifted,long,14_high_anim,egg,on,69,3
466,anim,unshifted,short,18_high_anim,pep,up,70,4
467,inanim,shifted,long,7_low_inanim,move,in,71,3
468,anim,unshifted,short,8_high_anim,bog,down,72,5
469,anim,shifted,short,6_low_anim,do,in,137,3
470,inanim,shifted,long,7_low_inanim,move,in,73,5
471,inanim,unshifted,short,5_high_inanim,squirrel,away,74,3
472,inanim,unshifted,short,9_low_inanim,read,off,75,4
473,anim,shifted,long,10_high_anim,rein,in,76,5
474,anim,unshifted,short,3_low_anim,send,away,79,5
475,inanim,shifted,long,9_low_inanim,read,off,80,5
476,inanim,unshifted,long,10_low_inanim,have,on,82,4
477,anim,unshifted,long,5_high_anim,scare,away,139,4
478,anim,unshifted,short,7_low_anim,see,off,83,5
479,anim,shifted,long,5_high_anim,scare,away,84,4
480,anim,unshifted,long,9_low_anim,lead,on,85,1
481,anim,unshifted,short,8_high_anim,bog,down,140,5
482,anim,shifted,short,13_high_anim,rip,off,86,4
483,anim,unshifted,long,10_high_anim,rein,in,88,2
484,inanim,shifted,short,3_low_inanim,wish,away,89,4
485,anim,shifted,short,7_low_anim,see,off,91,4
486,inanim,shifted,short,5_low_inanim,argue,down,92,4
487,anim,shifted,short,10_low_anim,show,out,93,3
488,anim,shifted,long,8_high_anim,bog,down,94,4
489,anim,shifted,short,6_high_anim,bring,back,95,5
