WorkerId,item,shifted,verb_bias,length,acceptability,sentence
18,7,shifted,np,long,3,Donald relinquished with joy some great front row center seats for the last performance.
19,15,unshifted,np,long,4,The teacher introduced some hard math concepts for the one hundred point final with care.
21,1,shifted,np,short,1,The contractor presented in July the display.
22,27,shifted,nps,short,1,Bobby revealed at dusk the deeds.
23,7,unshifted,nps,short,3,Donald proposed some drafts with joy.
34,18,unshifted,nps,short,4,Shelly disclosed notes in May.
25,26,shifted,nps,long,4,Janet revealed at dawn some more specific plans for a brand new defense plant.
26,30,unshifted,nps,long,1,Amy broadcast the high school girls state swimming title in New York last week.
35,22,unshifted,np,long,4,Steven addressed a seven page letter with many details of the trip during break.
8,21,unshifted,nps,long,5,Jessica reported the awful news of the refugees in the Far East last summer.
38,19,unshifted,nps,short,5,The woman disclosed the records in August.
27,10,shifted,np,long,4,Alex described in detail each of the key points of conflict in an interview.
39,12,unshifted,nps,long,5,The lawyer acknowledged each piece of the evidence in the tax fraud cases with confidence.
40,15,shifted,nps,long,4,The teacher announced with care some hard math concepts for the one hundred point final.
41,27,shifted,np,short,1,Bobby transferred at dusk the deeds.
42,24,unshifted,np,short,5,Sam donated a treasure on Sunday.
43,13,shifted,nps,short,4,The editor acknowledged at supper the details.
30,27,shifted,np,short,2,Bobby transferred at dusk the deeds.
1,20,shifted,np,short,2,David furnished with hesitation the facts.
2,26,unshifted,nps,short,3,Janet revealed some graphs at dawn.
3,17,shifted,np,short,2,Todd delivered at once some gifts.
44,15,shifted,np,long,4,The teacher introduced with care some hard math concepts for the one hundred point final.
4,5,unshifted,np,long,4,The manager transported the new sports line of running shoes and bicycling gear at three.
5,9,unshifted,nps,long,3,Brian explained all of the answers on the twenty point English quiz at lunch.
6,30,unshifted,nps,short,5,Amy broadcast the game last week.
9,13,shifted,np,long,4,The editor distributed at supper the first drafts of a long article and book review.
12,3,shifted,nps,short,4,Mark mentioned very quickly the flyers.
13,31,unshifted,np,short,5,Jason forfeited the race with glee.
14,29,unshifted,nps,short,5,Mike dictated the words last year.
31,12,shifted,np,short,3,The lawyer distributed with confidence the dividends.
15,0,shifted,nps,long,3,The manager exhibited at noon the new line of bright summer beach and resort fashions.
16,3,shifted,nps,short,2,Mark mentioned very quickly the flyers.
21,23,unshifted,nps,long,3,Raymond communicated a five page plan of withdrawal for the allied troops very loudly.
22,0,shifted,nps,long,3,The manager exhibited at noon the new line of bright summer beach and resort fashions.
33,26,shifted,np,long,2,Janet transferred at dawn some more specific plans for a brand new defense plant.
45,0,shifted,np,long,2,The manager presented at noon the new line of bright summer beach and resort fashions.
34,31,shifted,nps,short,5,Jason broadcast with glee the race.
25,10,unshifted,np,long,4,Alex described each of the key points of conflict in an interview in detail.
26,9,shifted,nps,long,4,Brian explained at lunch all of the answers on the twenty point English quiz.
35,24,unshifted,nps,long,3,Sam recommended an old treasure chest with some silver and gold trinkets on Sunday.
7,13,unshifted,nps,long,4,The editor acknowledged the first drafts of a long article and book review at supper.
38,0,shifted,np,short,3,The manager presented at noon the styles.
27,7,unshifted,nps,long,4,Donald proposed some great front row center seats for the last performance with joy.
39,13,shifted,np,short,4,The editor distributed at supper the details.
42,6,shifted,np,long,3,Robert relinquished last semester one round trip plane ticket from New York to Atlanta.
30,11,unshifted,nps,long,3,The woman indicated the best routes to the Santa Monica beach and pier by phone.
1,12,unshifted,nps,long,5,The lawyer acknowledged each piece of the evidence in the tax fraud cases with confidence.
2,29,shifted,nps,long,2,Mike dictated last year the words to a popular country song in the South.
3,12,unshifted,nps,short,5,The lawyer acknowledged the dividends with confidence.
23,5,unshifted,np,short,5,The manager transported the sports gear at three.
44,24,shifted,nps,long,4,Sam recommended on Sunday an old treasure chest with some silver and gold trinkets.
36,6,shifted,np,short,1,Robert relinquished last semester one plane ticket.
4,10,shifted,np,long,5,Alex described in detail each of the key points of conflict in an interview.
46,12,unshifted,np,short,5,The lawyer distributed the dividends with confidence.
6,13,shifted,np,short,1,The editor distributed at supper the details.
9,24,shifted,np,short,1,Sam donated on Sunday a treasure.
10,4,shifted,np,short,2,The dealer transported at ten a car.
12,24,shifted,np,long,5,Sam donated on Sunday an old treasure chest with some silver and gold trinkets.
13,18,shifted,nps,short,4,Shelly disclosed in May notes.
31,30,shifted,np,long,2,Amy forfeited last week the high school girls state swimming title in New York.
40,16,unshifted,nps,long,4,Judy suggested a gorgeous red and black silk dress with sparkling sequins in March.
15,27,shifted,nps,short,3,Bobby revealed at dusk the deeds.
16,13,shifted,np,short,1,The editor distributed at supper the details.
19,10,shifted,np,short,5,Alex described in detail the offer.
21,18,unshifted,np,short,4,Shelly carried notes in May.
22,12,shifted,nps,short,4,The lawyer acknowledged with confidence the dividends.
29,31,shifted,nps,long,3,Jason broadcast with glee all of the winnings for the past seven horse races.
47,23,shifted,nps,short,2,Raymond communicated very loudly a memo.
33,12,unshifted,np,long,1,The lawyer distributed each piece of the evidence in the tax fraud cases with confidence.
48,5,shifted,np,short,1,The manager transported at three the sports gear.
45,5,unshifted,nps,long,2,The manager demonstrated the new sports line of running shoes and bicycling gear at three.
49,30,shifted,nps,short,1,Amy broadcast last week the game.
34,11,shifted,np,long,4,The woman described by phone the best routes to the Santa Monica beach and pier.
5,29,shifted,nps,long,2,Mike dictated last year the words to a popular country song in the South.
26,15,shifted,nps,long,4,The teacher announced with care some hard math concepts for the one hundred point final.
50,26,unshifted,nps,long,2,Janet revealed some more specific plans for a brand new defense plant at dawn.
7,26,unshifted,np,long,3,Janet transferred some more specific plans for a brand new defense plant at dawn.
38,8,shifted,nps,long,5,Jake explained on Friday all of the facts for the import and export taxes.
11,30,unshifted,np,long,5,Amy forfeited the high school girls state swimming title in New York last week.
39,20,shifted,np,short,2,David furnished with hesitation the facts.
37,1,unshifted,np,short,5,The contractor presented the display in July.
41,3,unshifted,nps,short,5,Mark mentioned the flyers very quickly.
20,3,unshifted,nps,short,5,Mark mentioned the flyers very quickly.
30,26,unshifted,nps,long,3,Janet revealed some more specific plans for a brand new defense plant at dawn.
3,10,unshifted,np,short,5,Alex described the offer in detail.
36,8,shifted,nps,short,1,Jake explained on Friday the figures.
4,28,unshifted,nps,long,4,Kathy dictated all three verses from an old and famous French poem last night.
6,20,shifted,np,short,2,David furnished with hesitation the facts.
9,9,shifted,nps,long,3,Brian explained at lunch all of the answers on the twenty point English quiz.
10,15,unshifted,np,long,2,The teacher introduced some hard math concepts for the one hundred point final with care.
12,22,shifted,nps,short,2,Steven communicated during break a letter.
13,8,shifted,nps,long,5,Jake explained on Friday all of the facts for the import and export taxes.
31,17,unshifted,np,long,2,Todd delivered a large package with lots of presents for small children at once.
15,26,unshifted,np,short,4,Janet transferred some graphs at dawn.
16,27,unshifted,nps,long,2,Bobby revealed the short documents to the old mansion on the hill at dusk.
17,31,unshifted,nps,short,4,Jason broadcast the race with glee.
42,26,unshifted,nps,short,5,Janet revealed some graphs at dawn.
19,16,shifted,nps,long,4,Judy suggested in March a gorgeous red and black silk dress with sparkling sequins.
51,24,shifted,np,long,NA,Sam donated on Sunday an old treasure chest with some silver and gold trinkets.
22,19,unshifted,np,short,4,The woman carried the records in August.
23,10,shifted,np,short,NA,Alex described in detail the offer.
34,28,shifted,nps,long,5,Kathy dictated last night all three verses from an old and famous French poem.
44,2,unshifted,np,short,4,Mary returned the ads at tea.
7,23,shifted,nps,short,3,Raymond communicated very loudly a memo.
8,1,shifted,nps,short,4,The contractor exhibited in July the display.
39,15,shifted,nps,short,2,The teacher announced with care the test.
40,1,shifted,np,short,3,The contractor presented in July the display.
41,28,unshifted,np,short,5,Kathy recited the poem last night.
20,8,shifted,nps,short,3,Jake explained on Friday the figures.
28,8,shifted,nps,long,2,Jake explained on Friday all of the facts for the import and export taxes.
30,10,shifted,nps,long,4,Alex indicated in detail each of the key points of conflict in an interview.
1,0,unshifted,nps,short,4,The manager exhibited the styles at noon.
33,27,unshifted,np,long,2,Bobby transferred the short documents to the old mansion on the hill at dusk.
3,29,unshifted,np,long,4,Mike recited the words to a popular country song in the South last year.
36,11,unshifted,nps,long,4,The woman indicated the best routes to the Santa Monica beach and pier by phone.
25,1,shifted,np,long,4,The contractor presented in July the plans for a lagoon and waterfall with red clay.
4,11,unshifted,np,long,4,The woman described the best routes to the Santa Monica beach and pier by phone.
46,23,unshifted,np,long,4,Raymond addressed a five page plan of withdrawal for the allied troops very loudly.
50,18,shifted,nps,long,1,Shelly disclosed in May top secret plans for a large fleet of defense missiles.
9,26,shifted,nps,short,2,Janet revealed at dawn some graphs.
10,5,unshifted,np,short,4,The manager transported the sports gear at three.
12,14,unshifted,np,short,5,The president introduced the captain on Monday.
31,15,unshifted,nps,short,3,The teacher announced the test with care.
15,18,shifted,np,short,2,Shelly carried in May notes.
32,8,unshifted,nps,short,5,Jake explained the figures on Friday.
16,7,shifted,np,short,3,Donald relinquished with joy some drafts.
17,18,shifted,np,long,2,Shelly carried in May top secret plans for a large fleet of defense missiles.
42,3,unshifted,nps,long,4,Mark mentioned the flyers for some lectures and slide shows on campus very quickly.
19,11,unshifted,np,short,5,The woman described the route by phone.
51,17,shifted,np,long,2,Todd delivered at once a large package with lots of presents for small children.
29,1,shifted,nps,long,3,The contractor exhibited in July the plans for a lagoon and waterfall with red clay.
2,2,shifted,np,long,2,Mary returned at tea the used car ad for a Chevrolet with low mileage.
23,20,unshifted,nps,short,3,David reported the facts with hesitation.
48,24,shifted,nps,long,2,Sam recommended on Sunday an old treasure chest with some silver and gold trinkets.
49,26,unshifted,np,long,3,Janet transferred some more specific plans for a brand new defense plant at dawn.
34,6,unshifted,np,long,5,Robert relinquished one round trip plane ticket from New York to Atlanta last semester.
24,19,unshifted,nps,short,5,The woman disclosed the records in August.
5,30,shifted,np,short,2,Amy forfeited last week the game.
26,12,unshifted,nps,short,3,The lawyer acknowledged the dividends with confidence.
8,10,unshifted,nps,short,5,Alex indicated the offer in detail.
27,18,shifted,np,long,4,Shelly carried in May top secret plans for a large fleet of defense missiles.
52,20,shifted,np,long,1,David furnished with hesitation the facts on the strange bank robbery crimes in Utah.
14,0,unshifted,np,long,3,The manager presented the new line of bright summer beach and resort fashions at noon.
37,0,shifted,np,short,2,The manager presented at noon the styles.
22,13,unshifted,nps,short,4,The editor acknowledged the details at supper.
30,18,shifted,nps,long,4,Shelly disclosed in May top secret plans for a large fleet of defense missiles.
1,11,shifted,nps,long,4,The woman indicated by phone the best routes to the Santa Monica beach and pier.
3,28,shifted,np,long,2,Kathy recited last night all three verses from an old and famous French poem.
44,26,shifted,np,short,3,Janet transferred at dawn some graphs.
25,14,unshifted,np,short,4,The president introduced the captain on Monday.
4,8,shifted,np,short,2,Jake released on Friday the figures.
46,31,shifted,nps,long,1,Jason broadcast with glee all of the winnings for the past seven horse races.
6,24,shifted,np,long,4,Sam donated on Sunday an old treasure chest with some silver and gold trinkets.
7,16,shifted,nps,short,3,Judy suggested in March a dress.
9,28,shifted,np,long,4,Kathy recited last night all three verses from an old and famous French poem.
12,28,shifted,np,short,2,Kathy recited last night the poem.
13,0,shifted,np,short,4,The manager presented at noon the styles.
15,11,unshifted,np,short,5,The woman described the route by phone.
32,18,unshifted,nps,long,5,Shelly disclosed top secret plans for a large fleet of defense missiles in May.
17,4,shifted,np,long,2,The dealer transported at ten a brand new speedy silver sports car with chrome bumpers.
19,20,unshifted,nps,short,5,David reported the facts with hesitation.
43,8,unshifted,nps,short,5,Jake explained the figures on Friday.
20,20,unshifted,np,short,5,David furnished the facts with hesitation.
51,6,unshifted,nps,long,2,Robert proposed one round trip plane ticket from New York to Atlanta last semester.
28,14,shifted,nps,long,4,The president announced on Monday the new vice chair of the first corporate finance group.
33,18,unshifted,nps,short,2,Shelly disclosed notes in May.
2,28,unshifted,np,long,4,Kathy recited all three verses from an old and famous French poem last night.
48,15,shifted,np,long,2,The teacher introduced with care some hard math concepts for the one hundred point final.
45,15,unshifted,nps,short,5,The teacher announced the test with care.
24,7,unshifted,np,long,1,Donald relinquished some great front row center seats for the last performance with joy.
5,13,unshifted,np,long,4,The editor distributed the first drafts of a long article and book review at supper.
26,19,shifted,nps,short,1,The woman disclosed in August the records.
35,30,shifted,nps,long,2,Amy broadcast last week the high school girls state swimming title in New York.
8,28,shifted,nps,long,4,Kathy dictated last night all three verses from an old and famous French poem.
38,15,unshifted,nps,long,3,The teacher announced some hard math concepts for the one hundred point final with care.
11,13,shifted,nps,short,4,The editor acknowledged at supper the details.
27,23,shifted,nps,short,4,Raymond communicated very loudly a memo.
52,6,unshifted,nps,short,1,Robert proposed one plane ticket last semester.
39,30,unshifted,nps,short,3,Amy broadcast the game last week.
42,8,shifted,nps,long,5,Jake explained on Friday all of the facts for the import and export taxes.
21,10,unshifted,np,short,5,Alex described the offer in detail.
22,30,shifted,nps,long,4,Amy broadcast last week the high school girls state swimming title in New York.
1,18,unshifted,np,long,4,Shelly carried top secret plans for a large fleet of defense missiles in May.
47,11,unshifted,np,long,5,The woman described the best routes to the Santa Monica beach and pier by phone.
3,0,unshifted,nps,long,5,The manager exhibited the new line of bright summer beach and resort fashions at noon.
49,14,shifted,np,short,2,The president introduced on Monday the captain.
7,28,unshifted,nps,long,4,Kathy dictated all three verses from an old and famous French poem last night.
9,16,unshifted,nps,long,4,Judy suggested a gorgeous red and black silk dress with sparkling sequins in March.
10,28,unshifted,nps,short,4,Kathy dictated the poem last night.
14,12,unshifted,np,short,5,The lawyer distributed the dividends with confidence.
37,14,shifted,nps,long,5,The president announced on Monday the new vice chair of the first corporate finance group.
32,31,shifted,nps,long,4,Jason broadcast with glee all of the winnings for the past seven horse races.
17,27,shifted,nps,long,2,Bobby revealed at dusk the short documents to the old mansion on the hill.
19,1,unshifted,nps,long,4,The contractor exhibited the plans for a lagoon and waterfall with red clay in July.
43,24,shifted,nps,long,4,Sam recommended on Sunday an old treasure chest with some silver and gold trinkets.
28,31,unshifted,np,short,4,Jason forfeited the race with glee.
23,26,unshifted,np,short,4,Janet transferred some graphs at dawn.
48,22,shifted,np,long,2,Steven addressed during break a seven page letter with many details of the trip.
45,29,shifted,nps,short,1,Mike dictated last year the words.
34,24,shifted,nps,short,1,Sam recommended on Sunday a treasure.
24,27,shifted,np,long,1,Bobby transferred at dusk the short documents to the old mansion on the hill.
44,30,unshifted,np,long,5,Amy forfeited the high school girls state swimming title in New York last week.
4,0,shifted,nps,short,2,The manager exhibited at noon the styles.
5,2,shifted,np,long,1,Mary returned at tea the used car ad for a Chevrolet with low mileage.
26,31,shifted,np,short,1,Jason forfeited with glee the race.
38,14,shifted,nps,long,5,The president announced on Monday the new vice chair of the first corporate finance group.
13,29,shifted,nps,long,5,Mike dictated last year the words to a popular country song in the South.
52,23,unshifted,nps,long,2,Raymond communicated a five page plan of withdrawal for the allied troops very loudly.
31,14,shifted,nps,short,3,The president announced on Monday the captain.
41,13,unshifted,np,short,5,The editor distributed the details at supper.
42,1,unshifted,np,short,5,The contractor presented the display in July.
18,22,shifted,nps,long,2,Steven communicated during break a seven page letter with many details of the trip.
51,30,unshifted,nps,short,1,Amy broadcast the game last week.
21,22,shifted,nps,long,4,Steven communicated during break a seven page letter with many details of the trip.
22,26,unshifted,np,short,3,Janet transferred some graphs at dawn.
29,26,shifted,np,short,2,Janet transferred at dawn some graphs.
30,30,shifted,np,long,2,Amy forfeited last week the high school girls state swimming title in New York.
1,22,shifted,nps,short,2,Steven communicated during break a letter.
47,29,shifted,np,short,2,Mike recited last year the words.
2,13,unshifted,np,long,4,The editor distributed the first drafts of a long article and book review at supper.
3,16,unshifted,nps,long,2,Judy suggested a gorgeous red and black silk dress with sparkling sequins in March.
49,19,unshifted,np,long,3,The woman carried the birth and school records of the three young children in August.
36,28,unshifted,np,short,5,Kathy recited the poem last night.
46,1,shifted,nps,long,2,The contractor exhibited in July the plans for a lagoon and waterfall with red clay.
6,8,unshifted,np,short,5,Jake released the figures on Friday.
9,10,unshifted,np,short,5,Alex described the offer in detail.
14,7,shifted,nps,short,5,Donald proposed with joy some drafts.
39,9,shifted,nps,short,4,Brian explained at lunch the quiz.
37,8,shifted,nps,long,5,Jake explained on Friday all of the facts for the import and export taxes.
40,13,shifted,np,long,4,The editor distributed at supper the first drafts of a long article and book review.
32,0,unshifted,np,long,4,The manager presented the new line of bright summer beach and resort fashions at noon.
17,11,unshifted,np,long,3,The woman described the best routes to the Santa Monica beach and pier by phone.
33,14,unshifted,nps,long,3,The president announced the new vice chair of the first corporate finance group on Monday.
48,31,shifted,nps,long,2,Jason broadcast with glee all of the winnings for the past seven horse races.
45,22,unshifted,nps,short,4,Steven communicated a letter during break.
53,18,unshifted,np,short,3,Shelly carried notes in May.
25,17,shifted,np,long,3,Todd delivered at once a large package with lots of presents for small children.
50,19,unshifted,nps,long,5,The woman disclosed the birth and school records of the three young children in August.
8,5,shifted,np,long,4,The manager transported at three the new sports line of running shoes and bicycling gear.
38,30,shifted,np,short,2,Amy forfeited last week the game.
10,12,shifted,nps,short,3,The lawyer acknowledged with confidence the dividends.
11,9,shifted,np,long,4,Brian released at lunch all of the answers on the twenty point English quiz.
52,24,shifted,np,short,1,Sam donated on Sunday a treasure.
42,18,shifted,nps,short,4,Shelly disclosed in May notes.
18,10,unshifted,np,short,5,Alex described the offer in detail.
51,22,shifted,nps,short,3,Steven communicated during break a letter.
28,6,shifted,np,long,2,Robert relinquished last semester one round trip plane ticket from New York to Atlanta.
3,6,unshifted,nps,short,2,Robert proposed one plane ticket last semester.
23,19,unshifted,np,short,5,The woman carried the records in August.
49,9,unshifted,np,short,3,Brian released the quiz at lunch.
24,31,unshifted,np,short,2,Jason forfeited the race with glee.
44,16,unshifted,np,long,4,Judy delivered a gorgeous red and black silk dress with sparkling sequins in March.
26,26,shifted,nps,short,1,Janet revealed at dawn some graphs.
35,15,unshifted,np,long,2,The teacher introduced some hard math concepts for the one hundred point final with care.
9,20,shifted,np,long,4,David furnished with hesitation the facts on the strange bank robbery crimes in Utah.
13,27,shifted,np,long,5,Bobby transferred at dusk the short documents to the old mansion on the hill.
37,11,unshifted,nps,short,5,The woman indicated the route by phone.
40,31,shifted,np,short,3,Jason forfeited with glee the race.
32,11,shifted,np,short,4,The woman described by phone the route.
16,31,shifted,np,long,3,Jason forfeited with glee all of the winnings for the past seven horse races.
17,14,shifted,np,short,1,The president introduced on Monday the captain.
19,21,shifted,np,long,3,Jessica furnished last summer the awful news of the refugees in the Far East.
22,7,unshifted,nps,short,3,Donald proposed some drafts with joy.
1,6,unshifted,nps,long,5,Robert proposed one round trip plane ticket from New York to Atlanta last semester.
47,21,shifted,np,short,2,Jessica furnished last summer the news.
33,5,shifted,np,long,2,The manager transported at three the new sports line of running shoes and bicycling gear.
2,19,unshifted,nps,short,3,The woman disclosed the records in August.
45,27,shifted,np,short,1,Bobby transferred at dusk the deeds.
53,16,unshifted,nps,long,4,Judy suggested a gorgeous red and black silk dress with sparkling sequins in March.
25,24,shifted,np,long,3,Sam donated on Sunday an old treasure chest with some silver and gold trinkets.
6,21,unshifted,np,short,5,Jessica furnished the news last summer.
8,27,unshifted,np,long,5,Bobby transferred the short documents to the old mansion on the hill at dusk.
38,26,unshifted,nps,short,5,Janet revealed some graphs at dawn.
11,16,unshifted,np,long,5,Judy delivered a gorgeous red and black silk dress with sparkling sequins in March.
39,26,shifted,nps,long,4,Janet revealed at dawn some more specific plans for a brand new defense plant.
54,9,unshifted,np,short,4,Brian released the quiz at lunch.
15,21,shifted,np,long,3,Jessica furnished last summer the awful news of the refugees in the Far East.
18,15,shifted,nps,long,4,The teacher announced with care some hard math concepts for the one hundred point final.
43,7,shifted,nps,short,1,Donald proposed with joy some drafts.
20,1,unshifted,np,long,4,The contractor presented the plans for a lagoon and waterfall with red clay in July.
21,21,unshifted,np,long,3,Jessica furnished the awful news of the refugees in the Far East last summer.
29,8,unshifted,nps,short,5,Jake explained the figures on Friday.
3,26,shifted,nps,short,2,Janet revealed at dawn some graphs.
23,6,shifted,nps,short,1,Robert proposed last semester one plane ticket.
48,21,unshifted,nps,short,4,Jessica reported the news last summer.
36,21,shifted,nps,short,1,Jessica reported last summer the news.
4,19,unshifted,np,long,3,The woman carried the birth and school records of the three young children in August.
5,26,unshifted,nps,short,5,Janet revealed some graphs at dawn.
12,29,unshifted,np,short,5,Mike recited the words last year.
31,27,shifted,np,short,2,Bobby transferred at dusk the deeds.
37,7,unshifted,np,long,4,Donald relinquished some great front row center seats for the last performance with joy.
40,29,unshifted,np,long,4,Mike recited the words to a popular country song in the South last year.
32,23,unshifted,np,long,4,Raymond addressed a five page plan of withdrawal for the allied troops very loudly.
19,23,shifted,nps,long,4,Raymond communicated very loudly a five page plan of withdrawal for the allied troops.
28,12,shifted,np,long,2,The lawyer distributed with confidence each piece of the evidence in the tax fraud cases.
30,29,shifted,nps,short,2,Mike dictated last year the words.
1,9,shifted,nps,short,2,Brian explained at lunch the quiz.
47,13,unshifted,nps,long,5,The editor acknowledged the first drafts of a long article and book review at supper.
49,18,shifted,np,long,3,Shelly carried in May top secret plans for a large fleet of defense missiles.
53,15,shifted,nps,long,2,The teacher announced with care some hard math concepts for the one hundred point final.
44,11,shifted,np,short,2,The woman described by phone the route.
26,3,shifted,nps,long,3,Mark mentioned very quickly the flyers for some lectures and slide shows on campus.
35,21,shifted,np,long,3,Jessica furnished last summer the awful news of the refugees in the Far East.
46,6,unshifted,np,short,4,Robert relinquished one plane ticket last semester.
6,31,shifted,np,long,5,Jason forfeited with glee all of the winnings for the past seven horse races.
8,22,shifted,np,short,3,Steven addressed during break a letter.
38,4,shifted,nps,short,3,The dealer demonstrated at ten a car.
11,7,shifted,nps,short,4,Donald proposed with joy some drafts.
52,8,unshifted,np,long,2,Jake released all of the facts for the import and export taxes on Friday.
14,17,shifted,nps,long,3,Todd suggested at once a large package with lots of presents for small children.
39,18,unshifted,np,long,5,Shelly carried top secret plans for a large fleet of defense missiles in May.
54,27,shifted,nps,long,1,Bobby revealed at dusk the short documents to the old mansion on the hill.
41,24,unshifted,np,long,4,Sam donated an old treasure chest with some silver and gold trinkets on Sunday.
42,5,unshifted,nps,short,5,The manager demonstrated the sports gear at three.
18,14,unshifted,np,long,5,The president introduced the new vice chair of the first corporate finance group on Monday.
43,26,shifted,np,short,2,Janet transferred at dawn some graphs.
51,7,shifted,np,short,3,Donald relinquished with joy some drafts.
